"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
14,15,1415,"神奈川15区",130024,6899,49274,19272,1601,43342,270,11205,25421,2186,3711
14,16,1416,"神奈川16区",123033,9873,39238,14624,3541,50154,144,8388,15917,2098,3194
14,17,1417,"神奈川17区",133961,10440,43788,10534,2283,61060,183,8158,13340,2290,3636
14,18,1418,"神奈川18区",129399,7211,90825,12639,1519,13574,292,4243,16322,1595,4194
14,19,1419,"神奈川19区",114361,6070,72842,18867,1078,21646,427,6109,7865,2157,3252
14,20,1420,"神奈川20区",101107,5287,51812,8909,1976,28260,141,5087,15825,1801,2922
15,1,1501,"新潟1区",109398,10400,5399,8511,671,73895,183,1255,12359,2124,2243
15,2,1502,"新潟2区",124149,6476,8769,3927,842,96380,106,1203,8316,1938,2565
15,3,1503,"新潟3区",115266,5345,8346,1876,1670,92899,56,924,6269,1798,2233
15,4,1504,"新潟4区",113188,6859,4182,3713,1803,90325,100,933,8354,1635,1348
15,5,1505,"新潟5区",109553,7250,4504,1185,1052,89842,59,1262,5343,1895,1607
16,1,1601,"富山1区",89402,5860,5856,1981,532,65841,91,541,10335,1171,2274
16,2,1602,"富山2区",78858,2713,4916,942,537,65441,33,410,4948,834,1706
16,3,1603,"富山3区",114941,4688,6245,1279,729,94550,46,578,8665,1243,2346
17,1,1701,"石川1区",121476,9985,4117,9488,1296,82877,226,1855,14700,2149,3285
17,2,1702,"石川2区",109743,5992,5597,2170,1304,86270,72,772,10557,1272,1915
17,3,1703,"石川3区",69627,4623,3670,1251,1044,56011,40,456,3599,1125,1001
18,1,1801,"福井1区",122176,6750,4980,1612,992,96483,97,688,11732,1727,2548
18,2,1802,"福井2区",86464,4688,3432,1364,4993,66129,60,609,6681,1466,1682
19,1,1901,"山梨1区",130725,7628,5879,1444,1183,96745,120,4858,14822,1949,2760
19,2,1902,"山梨2区",76033,5732,7067,918,745,57189,41,1992,4186,1304,1313
20,1,2001,"長野1区",130588,9932,10031,3329,506,89163,126,2408,17674,2245,3410
20,2,2002,"長野2区",115920,7492,7380,1385,548,85862,65,1704,13476,2100,2913
20,3,2003,"長野3区",117628,6936,7606,1090,783,93347,67,1375,8378,1746,2375
20,4,2004,"長野4区",76692,6756,4762,658,600,59178,52,839,5299,1041,1122
20,5,2005,"長野5区",87942,5343,3233,702,570,72998,51,1204,3659,1291,1683
21,1,2101,"岐阜1区",102985,4715,12476,6536,830,68641,101,1256,14485,1974,2836
21,2,2102,"岐阜2区",95592,3515,9562,1421,822,73213,47,945,10553,1196,1821
21,3,2103,"岐阜3区",130731,5907,14954,2781,1182,95860,56,1711,14438,1889,2899
21,4,2104,"岐阜4区",103645,6130,5643,1532,1558,81218,56,1296,8104,1680,1674
21,5,2105,"岐阜5区",84816,4933,10834,2272,1255,64386,51,1105,3894,1586,1579
22,1,2201,"静岡1区",122112,9998,11282,8349,998,61386,205,10321,25943,2917,3126
22,2,2202,"静岡2区",122994,4693,10908,2799,1282,91046,88,4679,13952,2098,1994
22,3,2203,"静岡3区",131186,5790,7975,2143,1556,102286,94,4985,12024,1674,2223
22,4,2204,"静岡4区",99624,6615,9208,2236,943,65744,65,5696,12943,1827,2381
22,5,2205,"静岡5区",147307,12654,14023,2541,1650,104957,128,5655,12988,1795,1393
22,6,2206,"静岡6区",115835,10101,11945,3389,1137,76497,171,5960,11023,2257,2095
22,7,2207,"静岡7区",105475,5331,6301,2294,1140,79813,58,4998,10579,1409,1111
22,8,2208,"静岡8区",131407,9232,8099,5125,899,88896,167,7463,18560,1873,1484
23,1,2301,"愛知1区",118961,12588,42819,8068,1395,38477,525,2391,23037,2836,3683
23,2,2302,"愛知2区",127241,8144,48034,12401,1268,49137,307,3416,17964,3307,3404
23,3,2303,"愛知3区",134996,7266,44861,9914,1548,62528,254,4143,17653,2860,3818
23,4,2304,"愛知4区",113209,7733,32299,7601,1557,50968,212,3070,18092,2483,3140
23,5,2305,"愛知5区",106687,7415,32784,6634,1425,46145,159,2524,18232,2712,3361
23,6,2306,"愛知6区",116560,5887,27322,4544,1460,66909,73,3776,16716,2500,2958
23,7,2307,"愛知7区",121525,5357,28773,4498,1792,71112,100,4463,15762,2441,2790
23,8,2308,"愛知8区",148732,5504,26285,2129,2647,100297,119,4588,14261,2465,3845
23,9,2309,"愛知9区",124437,4150,28776,3315,1521,74405,70,3103,18682,2916,3234
23,10,2310,"愛知10区",106386,3306,25148,4029,1175,63318,48,2214,17033,2035,3036
23,11,2311,"愛知11区",145765,8607,14471,3043,4485,102472,85,3451,14746,1582,4270
23,12,2312,"愛知12区",158392,7570,20959,4038,3520,107623,87,4412,18657,2272,4295
23,13,2313,"愛知13区",154951,8706,23813,1887,4004,97401,106,3788,22474,1911,4441
23,14,2314,"愛知14区",101342,5977,12858,1007,1769,70715,45,2692,11186,1515,1943
23,15,2315,"愛知15区",117949,5266,10791,2696,3418,83392,88,3359,13228,1702,3252
23,16,2316,"愛知16区",130888,6953,24812,3567,1271,78090,81,3353,21432,2470,3365
24,1,2401,"三重1区",111474,4867,12194,2398,1232,79557,83,2225,12266,1865,3406
24,2,2402,"三重2区",132351,5489,14502,2851,1447,96309,85,3873,12927,1686,4168
24,3,2403,"三重3区",137198,5872,19579,5480,2219,93683,214,2814,13322,2089,4504
24,4,2404,"三重4区",79588,4425,5513,1074,669,60483,39,1841,6520,1677,2324
25,1,2501,"滋賀1区",96433,6338,33014,6486,1021,45458,128,4812,10013,1812,2531
25,2,2502,"滋賀2区",144737,6724,17757,2684,2126,104388,105,2263,16140,1950,3807
25,3,2503,"滋賀3区",132758,6439,27608,6072,2155,76587,101,5157,21455,1997,3552
26,1,2601,"京都1区",104763,12103,29101,14443,1280,20709,489,10295,27187,1616,4140
26,2,2602,"京都2区",69653,6019,21378,8225,744,17984,333,7152,15773,1211,2902
26,3,2603,"京都3区",97863,6307,37838,5737,1007,29535,164,11752,15832,1715,3052
26,4,2604,"京都4区",106782,6287,29624,10588,922,41227,184,11254,17907,1884,3524
26,5,2605,"京都5区",71083,6956,2469,891,1175,51161,31,1574,6938,1245,1994
26,6,2606,"京都6区",132990,6713,46511,9855,1347,55767,144,13350,14921,2185,3941
27,1,2701,"大阪1区",103213,13790,52012,3335,810,12434,614,2300,23431,1567,4525
27,2,2702,"大阪2区",107877,6033,47668,3188,925,22280,206,4766,29990,1905,4629
27,3,2703,"大阪3区",84050,4687,37465,4694,1019,17206,129,3362,20796,1625,4338
27,4,2704,"大阪4区",105755,11037,55597,4856,791,13209,521,2955,25123,1589,4037
27,5,2705,"大阪5区",113765,9035,56415,4652,1036,18278,231,5597,26637,1909,4984
27,6,2706,"大阪6区",103796,5602,40978,3590,837,23665,150,6623,29671,2026,4498
