"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
13,6,1306,"東京6区",486466,250397,107761,101561,57514,38053,19461,8425,35622,6200,135,128173
13,7,1307,"東京7区",504369,204038,100671,92364,59505,29396,30109,4287,28572,8307,1459,198201
13,8,1308,"東京8区",472388,242941,102466,97248,54987,33484,21503,9584,32677,5218,100,126881
13,9,1309,"東京9区",369336,212612,70716,67792,41056,27779,13277,5915,20821,2924,87,85921
13,10,1310,"東京10区",541668,252541,121480,112539,62987,28795,34192,5025,44527,8941,144,167503
13,11,1311,"東京11区",479076,249380,91083,87222,51476,30097,21379,3184,32562,3861,177,138436
13,12,1312,"東京12区",460620,243794,94196,89734,52556,30155,22401,3268,33910,4462,165,122465
13,13,1313,"東京13区",469525,254917,77834,75306,46967,31854,15113,2036,26303,2528,301,136473
13,14,1314,"東京14区",480269,271468,96626,92239,54782,31020,23762,2955,34502,4387,104,112071
13,15,1315,"東京15区",524310,293224,107865,101320,59944,33440,26504,3416,37960,6545,137,123084
13,16,1316,"東京16区",489748,278466,95323,90825,54789,41164,13625,2388,33648,4498,119,115840
13,17,1317,"東京17区",453093,270956,80919,77748,48305,30229,18076,2198,27245,3171,275,100943
13,18,1318,"東京18区",483611,292101,107693,102560,27870,0,0,40362,34328,5133,171,83646
13,19,1319,"東京19区",405111,233383,82119,79139,20749,0,0,31748,26642,2980,179,89430
13,20,1320,"東京20区",498024,325249,80813,79115,26815,0,0,31180,21120,1698,188,91774
13,21,1321,"東京21区",491757,295438,92454,89933,29182,0,0,29954,30797,2521,134,103731
13,22,1322,"東京22区",522777,291813,110657,106464,30808,0,0,39876,35780,4193,186,120121
13,23,1323,"東京23区",431079,291010,74790,72683,28140,0,0,11152,33391,2107,131,65148
13,24,1324,"東京24区",461614,296460,80419,77853,34902,0,0,17288,25663,2566,173,84562
13,25,1325,"東京25区",492992,341857,79795,77782,30317,0,0,31645,15820,2013,272,71068
13,26,1326,"東京26区",522480,272249,109254,101930,60627,32394,28233,3601,37702,7324,145,140832
13,27,1327,"東京27区",463600,216505,98327,92920,51697,25015,26682,7498,33725,5407,108,148660
13,28,1328,"東京28区",383272,202538,85330,81735,46357,26741,19616,4220,31158,3595,83,95321
13,29,1329,"東京29区",442993,248681,75106,71985,46491,28160,18331,2214,23280,3121,193,119013
13,30,1330,"東京30区",502892,321333,98558,95410,32959,0,0,30001,32450,3148,385,82616
14,1,1401,"神奈川1区",517058,336008,93278,88895,53526,32059,21467,9895,25474,4383,185,87587
14,2,1402,"神奈川2区",518340,330610,96560,93162,56767,29267,27500,9686,26709,3398,213,90957
14,3,1403,"神奈川3区",544704,328577,105387,101242,50560,31984,18576,12233,38449,4145,168,110572
14,4,1404,"神奈川4区",381629,275040,62416,60398,25313,6672,4581,17505,17580,2018,145,44028
14,5,1405,"神奈川5区",436087,309486,80889,78639,48751,28453,20298,9727,20161,2250,212,45500
14,6,1406,"神奈川6区",452985,307999,75828,73662,47751,25972,21779,7557,18354,2166,132,69026
14,7,1407,"神奈川7区",358530,212346,78936,76144,36596,24624,11972,8442,31106,2792,66,67182
14,8,1408,"神奈川8区",493838,325339,97884,93640,50412,33784,16628,11246,31982,4244,133,70482
14,9,1409,"神奈川9区",402439,238566,85317,82348,34887,26422,8465,9568,37893,2969,114,78442
14,10,1410,"神奈川10区",404084,241580,83932,80729,36564,28836,7728,12911,31254,3203,126,78446
14,11,1411,"神奈川11区",430147,320860,68078,66647,35941,0,0,13361,17345,1431,152,41057
14,12,1412,"神奈川12区",485253,331698,98532,95562,42411,0,0,27779,25372,2970,212,54811
14,13,1413,"神奈川13区",445705,317014,80057,78303,39870,7706,5058,22608,15825,1754,495,48139
14,14,1414,"神奈川14区",486989,334635,78636,76414,40169,31195,6574,12574,23671,2222,154,73564
14,15,1415,"神奈川15区",532445,372704,87688,85775,40133,0,0,25550,20092,1913,305,71748
14,16,1416,"神奈川16区",462001,338981,86109,82858,33271,0,0,27378,22209,3251,160,36751
14,17,1417,"神奈川17区",526496,398363,86041,83667,36238,0,0,26565,20864,2374,209,41883
14,18,1418,"神奈川18区",498011,285341,117791,113473,46931,34336,12595,15008,51534,4318,121,94758
14,19,1419,"神奈川19区",446860,282458,92113,88080,45853,31976,13877,10227,32000,4033,149,72140
14,20,1420,"神奈川20区",413736,282426,73516,71339,28836,19442,2476,20977,21526,2177,133,57661
15,1,1501,"新潟1区",434255,312831,86915,85821,53159,32951,16075,13417,19245,1094,90,34419
15,2,1502,"新潟2区",474855,380626,70774,69560,42051,19085,8448,15814,11695,1214,102,23353
15,3,1503,"新潟3区",446769,370332,61080,59571,34625,9299,4342,15753,9193,1509,99,15258
15,4,1504,"新潟4区",430288,341079,65465,64105,36832,0,0,16106,11167,1360,45,23699
15,5,1505,"新潟5区",415105,341372,60316,58709,35690,0,0,11992,11027,1607,85,13332
16,1,1601,"富山1区",321666,238079,64229,62054,35801,0,0,7682,18571,2175,91,19267
16,2,1602,"富山2区",286989,239470,37288,35232,19115,0,0,9405,6712,2056,35,10196
16,3,1603,"富山3区",426159,351431,58370,54835,29128,0,0,14127,11580,3535,89,16269
17,1,1701,"石川1区",463254,313539,95382,93339,49085,0,0,13079,31175,2043,148,54185
17,2,1702,"石川2区",391740,306025,68695,65304,28146,0,0,20552,16606,3391,86,16934
17,3,1703,"石川3区",277532,232675,38185,36533,16550,0,0,12700,7283,1652,32,6640
18,1,1801,"福井1区",450734,355385,71102,68030,37033,0,0,13947,17050,3072,204,24043
18,2,1802,"福井2区",316129,253598,46677,43582,22394,0,0,11140,10048,3095,132,15722
19,1,1901,"山梨1区",507444,374704,93573,90757,38859,0,0,26808,25090,2816,160,39007
19,2,1902,"山梨2区",302530,241209,45771,44478,18896,0,0,12721,12861,1293,74,15476
20,1,2001,"長野1区",503198,379708,91630,89990,50521,0,0,21232,18237,1640,140,31720
20,2,2002,"長野2区",451850,348950,87861,85709,39328,0,0,24479,21902,2152,240,14799
20,3,2003,"長野3区",471170,365796,81922,77925,37447,0,0,22889,17589,3997,203,23249
20,4,2004,"長野4区",286555,226173,51900,50080,20911,0,0,17802,11367,1820,37,8445
20,5,2005,"長野5区",335238,270280,52965,51090,23603,0,0,17492,9995,1875,80,11913
21,1,2101,"岐阜1区",402557,294689,73243,71035,38555,0,0,15259,17221,2208,142,34483
