"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
34,1,3401,"広島1区",241655,150298,59011,57661,29139,15133,10222,9648,18874,1350,119,32227
34,2,3402,"広島2区",225989,154426,48007,46899,25926,12688,8083,7994,12979,1108,87,23469
34,3,3403,"広島3区",248620,176620,48630,47244,27859,18341,8055,6769,12616,1386,112,23258
34,4,3404,"広島4区",240586,171632,52068,49345,22703,0,0,10971,15671,2723,173,16713
34,5,3405,"広島5区",176060,137956,30297,27455,14364,0,0,7258,5833,2842,64,7743
34,6,3406,"広島6区",224246,157073,41499,39779,25125,0,0,5135,9519,1720,103,25571
35,1,3501,"山口1区",225096,158712,50321,49418,25260,0,0,9816,14342,903,76,15987
35,2,3502,"山口2区",216448,159184,39226,38190,19185,0,0,9121,9884,1036,78,17960
35,3,3503,"山口3区",195192,146253,38134,37178,21474,0,0,5555,10149,956,65,10740
36,1,3601,"徳島1区",201388,145866,36248,35637,17412,0,0,8127,10098,611,76,19198
36,2,3602,"徳島2区",141877,115290,20592,20044,8636,0,0,6967,4441,548,68,5927
37,1,3701,"香川1区",179606,117610,39534,38862,19860,0,0,3800,15202,672,54,22408
37,2,3702,"香川2区",142973,112922,20611,19656,9326,0,0,5578,4752,955,57,9383
37,3,3703,"香川3区",136618,103611,23498,21795,9467,0,0,5810,6518,1703,66,9443
38,1,3801,"愛媛1区",240292,148956,47302,46889,26751,0,0,6720,13418,413,91,43943
38,2,3802,"愛媛2区",222307,165948,39907,36987,22177,0,0,6095,8715,2920,66,16386
38,3,3803,"愛媛3区",170463,137393,26756,26380,12651,0,0,8670,5059,376,74,6240
39,1,3901,"高知1区",171178,117121,32419,31752,15483,0,0,7718,8551,667,81,21557
39,2,3902,"高知2区",155353,113532,25112,24446,12949,0,0,5986,5511,666,73,16636
40,1,4001,"福岡1区",262506,130414,73458,71574,33488,23856,9632,11247,26839,1884,179,58455
40,2,4002,"福岡2区",256253,134058,67347,65576,36121,22376,13745,7736,21719,1771,125,54723
40,3,4003,"福岡3区",259685,161894,65834,63981,33030,19277,10361,9232,21719,1853,160,31797
40,4,4004,"福岡4区",235270,161233,50580,49666,16454,1684,336,22119,11093,914,157,23300
40,5,4005,"福岡5区",262502,176293,52139,51380,18809,1542,479,19602,12969,759,230,33840
40,6,4006,"福岡6区",214902,150602,44879,43746,20983,0,0,11240,11523,1133,86,19335
40,7,4007,"福岡7区",159814,122015,27118,26502,13845,0,0,7464,5193,616,110,10571
40,8,4008,"福岡8区",193794,141811,37585,36437,15868,0,0,14289,6280,1148,82,14316
40,9,4009,"福岡9区",214545,146528,44635,43704,28442,20524,7918,6056,9206,931,125,23257
40,10,4010,"福岡10区",228724,143776,49713,48873,31191,23157,8034,5610,12072,840,82,35153
40,11,4011,"福岡11区",142956,107915,27362,26514,11352,0,0,9848,5314,848,53,7626
41,1,4101,"佐賀1区",193392,135123,42240,41420,19400,0,0,7296,14724,820,83,15946
41,2,4102,"佐賀2区",191059,152871,32957,32333,17260,0,0,6990,8083,624,69,5162
42,1,4201,"長崎1区",188519,133796,40717,39992,24032,0,0,5743,10217,725,85,13921
42,2,4202,"長崎2区",227334,172735,47304,46610,21732,0,0,13357,11521,694,79,7216
42,3,4203,"長崎3区",201059,148318,45122,44090,23578,0,0,8928,11584,1032,69,7550
