"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
45,1,4501,"宮崎1区",84522,4414,761,3452,307,67224,302,925,7425,666,1817
45,2,4502,"宮崎2区",62318,3020,355,456,405,53779,178,566,3075,441,907
45,3,4503,"宮崎3区",62911,2805,197,208,417,56544,123,247,1810,336,751
46,1,4601,"鹿児島1区",88814,11832,4986,12891,550,49258,409,2421,8770,1126,1987
46,2,4602,"鹿児島2区",78525,5490,2553,2423,522,61841,143,2064,4041,596,1139
46,3,4603,"鹿児島3区",73891,3926,1578,608,802,64077,97,630,2350,494,758
46,4,4604,"鹿児島4区",72532,4198,406,351,751,63333,74,651,1750,528,1344
47,1,4701,"沖縄1区",57463,9981,4764,6993,289,30550,956,2371,1695,1398,1665
47,2,4702,"沖縄2区",63033,4335,683,3467,345,51054,345,770,756,737,2071
47,3,4703,"沖縄3区",62452,3766,39,1335,872,52937,331,241,706,736,2185
47,4,4704,"沖縄4区",65802,4307,204,2370,363,54582,312,1221,1552,774,1584
