"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
14,9,1409,"神奈川9区",109106,25537,10249,15288,81014,11770,13597,54337,1310,2555
14,10,1410,"神奈川10区",116763,40902,9426,31476,70924,10435,17074,41714,1701,4937
14,11,1411,"神奈川11区",119151,66017,8536,57481,50313,0,36729,12404,1180,2821
14,12,1412,"神奈川12区",136897,51664,10456,41208,81819,0,54955,25290,1574,3414
14,13,1413,"神奈川13区",114936,31041,8117,22924,80466,9760,46511,22391,1804,3429
14,14,1414,"神奈川14区",133816,54426,9758,44668,75464,11900,28490,33429,1645,3926
14,15,1415,"神奈川15区",140752,53237,10728,42509,83696,0,59980,22019,1697,3819
14,16,1416,"神奈川16区",132799,55832,9766,46066,73976,0,56621,16095,1260,2991
14,17,1417,"神奈川17区",146884,62119,12923,49196,81620,0,64424,15598,1598,3145
14,18,1418,"神奈川18区",144114,34648,14715,19933,105770,16311,19366,68390,1703,3696
14,19,1419,"神奈川19区",125646,31777,11285,20492,90817,21987,15797,51584,1449,3052
14,20,1420,"神奈川20区",109130,29436,8023,21413,76687,4179,41723,29242,1543,3007
15,1,1501,"新潟1区",120238,73508,10840,62668,44553,34548,8732,805,468,2177
15,2,1502,"新潟2区",139848,76245,15699,60546,61206,25457,34049,830,870,2397
15,3,1503,"新潟3区",129663,70959,14397,56562,56602,14898,39740,1091,873,2102
15,4,1504,"新潟4区",125351,96297,12163,84134,28076,0,27001,722,353,978
15,5,1505,"新潟5区",125060,103394,15507,87887,20086,0,17973,1687,426,1580
16,1,1601,"富山1区",96404,79547,7002,72545,14546,0,12623,1617,306,2311
16,2,1602,"富山2区",86520,51443,7662,43781,33744,0,32007,1182,555,1333
16,3,1603,"富山3区",126609,68887,11668,57219,55383,0,50466,4074,843,2339
17,1,1701,"石川1区",131655,102368,10179,92189,25789,0,21904,3333,552,3498
17,2,1702,"石川2区",120143,64488,10400,54088,54312,0,51277,2518,517,1343
17,3,1703,"石川3区",79470,45051,9843,35208,33696,0,31455,1876,365,723
18,1,1801,"福井1区",135281,91251,13105,78146,41624,0,38209,2800,615,2406
18,2,1802,"福井2区",96290,60487,9826,50661,34513,0,32251,1883,379,1290
19,1,1901,"山梨1区",148211,76539,17486,59053,69249,0,63720,4572,957,2423
19,2,1902,"山梨2区",91346,50013,15313,34700,40385,0,33317,6554,514,948
20,1,2001,"長野1区",149202,109635,18614,91021,35865,0,33114,2036,715,3702
20,2,2002,"長野2区",134070,88742,18150,70592,42499,0,39923,1803,773,2829
20,3,2003,"長野3区",136658,87114,19030,68084,47701,0,44202,2912,587,1843
20,4,2004,"長野4区",87143,50600,10451,40149,35807,0,33523,1915,369,736
20,5,2005,"長野5区",102652,62637,14710,47927,38589,0,36815,1198,576,1426
21,1,2101,"岐阜1区",113198,63847,10213,53634,46100,0,28570,16358,1172,3251
21,2,2102,"岐阜2区",105725,47432,10133,37299,56771,0,43281,12733,757,1522
21,3,2103,"岐阜3区",144318,59740,13587,46153,81945,0,57716,23105,1124,2633
21,4,2104,"岐阜4区",116957,72673,13312,59361,42966,0,30724,11678,564,1318
21,5,2105,"岐阜5区",93999,51029,9183,41846,41546,0,23099,17780,667,1424
22,1,2201,"静岡1区",134533,81534,12421,69113,49591,32279,14186,2422,704,3408
22,2,2202,"静岡2区",137021,69774,14027,55747,65464,0,63061,1657,746,1783
22,3,2203,"静岡3区",145093,78428,13907,64521,64693,0,62354,1779,560,1972
22,4,2204,"静岡4区",110176,74155,10552,63603,33617,11479,19636,2007,495,2404
22,5,2205,"静岡5区",160358,96575,13051,83524,62812,0,55694,6693,425,971
22,6,2206,"静岡6区",132122,77757,16287,61470,52698,0,46429,5622,647,1667
22,7,2207,"静岡7区",118268,60325,12793,47532,57059,35295,16024,5450,290,884
22,8,2208,"静岡8区",143244,73386,11837,61549,68793,46179,18994,3264,356,1065
23,1,2301,"愛知1区",129947,46934,10986,35948,79140,49702,24624,3439,1375,3873
23,2,2302,"愛知2区",136258,39735,9017,30718,93156,58664,29000,4047,1445,3367
23,3,2303,"愛知3区",144118,39127,9122,30005,101325,58397,38679,2828,1421,3666
23,4,2304,"愛知4区",121972,43785,8763,35022,74853,48015,23096,2514,1228,3334
23,5,2305,"愛知5区",115591,39613,8904,30709,72269,36957,30261,3629,1422,3709
23,6,2306,"愛知6区",124713,52319,8153,44166,69310,0,63535,4698,1077,3084
23,7,2307,"愛知7区",129381,35743,7856,27887,91283,0,87836,2288,1159,2355
23,8,2308,"愛知8区",159680,63418,10948,52470,93196,0,90342,1602,1252,3066
23,9,2309,"愛知9区",136766,43566,12329,31237,90115,0,80937,7446,1732,3085
23,10,2310,"愛知10区",115653,45856,9267,36589,66500,0,55474,9762,1264,3297
23,11,2311,"愛知11区",154228,106411,8463,97948,43645,0,41363,1405,877,4172
23,12,2312,"愛知12区",171093,95332,12701,82631,71575,0,68876,1488,1211,4186
23,13,2313,"愛知13区",165250,67652,10299,57353,93567,0,90829,1544,1194,4031
23,14,2314,"愛知14区",111781,60546,10439,50107,49365,0,46188,2424,753,1870
23,15,2315,"愛知15区",133726,91298,15777,75521,38961,0,30443,7738,780,3467
23,16,2316,"愛知16区",139999,50684,9111,41573,85948,0,75483,8926,1539,3367
24,1,2401,"三重1区",120965,79433,9491,69942,37995,0,33022,4059,914,3537
24,2,2402,"三重2区",143042,87987,10691,77296,50938,0,39335,10348,1255,4117
24,3,2403,"三重3区",146978,76878,9780,67098,65503,0,43606,20538,1359,4597
24,4,2404,"三重4区",90846,53979,11258,42721,34630,0,30832,2797,1001,2237
25,1,2501,"滋賀1区",104556,51990,8123,43867,50015,0,20272,28714,1029,2551
25,2,2502,"滋賀2区",158067,82974,13330,69644,71462,0,60955,9173,1334,3631
25,3,2503,"滋賀3区",142109,61000,9351,51649,78059,0,58262,18496,1301,3050
26,1,2601,"京都1区",118413,50022,13650,36372,64293,42222,6600,14279,1192,4098
26,2,2602,"京都2区",77991,35253,8338,26915,40001,25112,3407,10548,934,2737
26,3,2603,"京都3区",105823,35813,7960,27853,66886,16970,29313,19398,1205,3124
26,4,2604,"京都4区",118747,48240,11965,36275,66784,32150,20750,12487,1397,3723
26,5,2605,"京都5区",81336,61709,10253,51456,17804,0,13407,3944,453,1823
26,6,2606,"京都6区",143917,45126,10927,34199,94943,0,57393,35490,2060,3848
27,1,2701,"大阪1区",113726,40133,10513,29620,68844,45310,15184,6983,1367,4749
27,2,2702,"大阪2区",118416,35995,10539,25456,77024,44773,23814,6401,2036,5397
27,3,2703,"大阪3区",90682,29637,6632,23005,56038,35178,14754,4327,1779,5007
27,4,2704,"大阪4区",114609,35091,8854,26237,75183,45977,18601,9158,1447,4335
27,5,2705,"大阪5区",121918,39116,8153,30963,77425,41453,21462,12595,1915,5377
27,6,2706,"大阪6区",112240,32108,8444,23664,74942,17873,47841,6864,2364,5190
27,7,2707,"大阪7区",125473,38397,7183,31214,83484,0,70234,11757,1493,3592
27,8,2708,"大阪8区",130800,40631,8498,32133,86594,0,68844,15971,1779,3575
27,9,2709,"大阪9区",117054,36941,7681,29260,77703,0,61691,14651,1361,2410
27,10,2710,"大阪10区",95907,31322,5356,25966,61849,0,43078,17382,1389,2736
27,11,2711,"大阪11区",116244,39071,6549,32522,73840,0,54633,17426,1781,3333
27,12,2712,"大阪12区",102558,30331,6880,23451,68272,0,58193,7915,2164,3955
27,13,2713,"大阪13区",114252,55091,8573,46518,54173,0,46076,6337,1760,4988
27,14,2714,"大阪14区",129290,43211,9111,34100,81915,0,72442,7127,2346,4164
27,15,2715,"大阪15区",113481,32922,8137,24785,76992,1219,68644,5096,2033,3567
27,16,2716,"大阪16区",100068,30311,6496,23815,66262,14900,45266,4598,1498,3495
27,17,2717,"大阪17区",96904,29604,6152,23452,63565,17460,40836,3804,1465,3735
27,18,2718,"大阪18区",130945,41078,8739,32339,85399,0,77923,5196,2280,4468
27,19,2719,"大阪19区",94252,31455,6872,24583,60277,0,53524,5530,1223,2520
28,1,2801,"兵庫1区",118729,44309,7433,36876,70811,30073,14730,24842,1166,3609
28,2,2802,"兵庫2区",112350,38271,7673,30598,69809,34861,19416,14005,1527,4270
28,3,2803,"兵庫3区",87335,22742,4668,18074,61970,38225,13548,9035,1162,2623
28,4,2804,"兵庫4区",137953,63288,12078,51210,71305,17119,46145,6737,1304,3360
28,5,2805,"兵庫5区",125193,73534,14451,59083,49974,0,28437,20489,1048,1685
28,6,2806,"兵庫6区",130085,37445,7722,29723,89094,0,39426,47958,1710,3546
28,7,2807,"兵庫7区",134355,40411,7877,32534,90554,0,38761,50229,1564,3390
