"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
27,5,2705,"大阪5区",58782,21245,10668,11035,4020,11135,648,31,23108,3141,5848,1105,13011,3
27,6,2706,"大阪6区",57996,21417,11290,11842,2430,10593,402,22,22542,2839,5215,3370,11118,0
27,7,2707,"大阪7区",70768,25381,12274,12601,2468,16713,1328,3,27316,5763,6906,2094,12553,0
27,8,2708,"大阪8区",75795,27960,13503,13451,1860,17028,1986,7,28851,5434,5413,4455,13547,2
27,9,2709,"大阪9区",72042,25826,12762,13169,1846,15934,2496,9,24776,4858,5905,2989,11024,0
27,10,2710,"大阪10区",54067,19649,10516,10549,1800,10956,587,10,19639,3255,4839,2567,8978,0
27,11,2711,"大阪11区",66124,23343,12598,13318,2311,13869,667,18,21386,4029,6518,1893,8945,1
27,12,2712,"大阪12区",54797,19281,10681,11147,2291,10907,395,95,18532,2462,4500,2982,8587,1
27,13,2713,"大阪13区",57978,17763,9861,12784,2300,14718,458,94,20887,2086,3690,3568,11543,0
27,14,2714,"大阪14区",70205,24868,13288,14442,2795,14269,523,20,23731,2862,5852,4093,10924,0
27,15,2715,"大阪15区",62659,21541,11882,12928,2936,12926,427,19,20291,3126,5007,2808,9350,0
27,16,2716,"大阪16区",51784,19223,9950,10134,2026,9605,834,12,20242,3237,3862,4016,9127,0
27,17,2717,"大阪17区",56828,21366,11576,11931,2346,9194,401,14,19437,3263,2991,4488,8695,0
27,18,2718,"大阪18区",76639,28234,15089,16219,3620,13024,443,10,25986,3498,4766,5194,12528,0
27,19,2719,"大阪19区",52096,18422,10514,11150,2509,9179,316,6,16582,2201,3080,4118,7183,0
28,1,2801,"兵庫1区",66947,22546,11238,11311,2160,17182,2284,226,23771,4102,6006,3217,10445,1
28,2,2802,"兵庫2区",55737,20341,11178,11619,2083,9837,614,65,18648,3074,4264,3160,8149,1
28,3,2803,"兵庫3区",48655,18862,9199,9434,1472,9195,481,12,18272,3227,3726,3339,7980,0
28,4,2804,"兵庫4区",68559,25662,13931,14833,2534,11036,553,10,22329,2106,4874,6814,8535,0
28,5,2805,"兵庫5区",59365,23880,12577,13251,1999,7222,433,3,20536,2245,3660,6906,7725,0
28,6,2806,"兵庫6区",75667,28605,14548,14816,2571,14424,695,8,28016,5372,6781,1883,13980,0
