"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
42,1,4201,"長崎1区",95201,79235,7175,72060,13314,0,11606,1229,479,2652
42,2,4202,"長崎2区",122873,84370,19486,64884,36486,0,34110,1773,603,2017
42,3,4203,"長崎3区",109321,88253,13451,74802,19536,0,14564,4450,522,1532
43,1,4301,"熊本1区",124205,63761,10875,52886,56174,29433,23500,2166,1075,4270
43,2,4302,"熊本2区",92158,46512,12822,33690,43185,16177,19943,6361,704,2461
43,3,4303,"熊本3区",98626,51765,17762,34003,46180,0,44427,1410,343,681
43,4,4304,"熊本4区",114379,82978,22244,60734,30483,0,28087,2069,327,918
44,1,4401,"大分1区",116841,102909,7537,95372,12057,0,10532,1256,269,1875
44,2,4402,"大分2区",77080,60463,13626,46837,16038,0,13804,2040,194,579
44,3,4403,"大分3区",85000,57191,10553,46638,26280,0,21977,3869,434,1529
45,1,4501,"宮崎1区",99740,85606,11327,74279,12033,0,10979,771,283,2101
45,2,4502,"宮崎2区",81570,61400,13597,47803,19221,0,18017,972,232,949
45,3,4503,"宮崎3区",78557,62284,12820,49464,15594,0,11718,3715,161,679
46,1,4601,"鹿児島1区",97846,86475,7535,78940,8828,0,7829,721,278,2543
46,2,4602,"鹿児島2区",99561,84658,13641,71017,13610,0,12725,667,218,1293
46,3,4603,"鹿児島3区",93750,67027,12599,54428,25965,0,24167,1551,247,758
46,4,4604,"鹿児島4区",96104,75741,15346,60395,19061,0,15963,2833,265,1302
47,1,4701,"沖縄1区",70735,49576,4962,44614,18839,0,18204,191,444,2320
47,2,4702,"沖縄2区",74763,26544,4703,21841,45125,0,43617,176,1332,3094
47,3,4703,"沖縄3区",79003,44676,6712,37964,30715,0,29361,154,1200,3612
47,4,4704,"沖縄4区",86168,47266,9474,37792,36707,0,35877,216,614,2195
