"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
12,7,1207,"千葉7区",173139,67868,13840,54028,100331,0,37393,60897,2041,4940
12,8,1208,"千葉8区",206057,88782,15458,73324,111967,0,40491,69075,2401,5308
12,9,1209,"千葉9区",228388,85107,18098,67009,137220,18641,84728,31091,2760,6061
12,10,1210,"千葉10区",208710,125976,30096,95880,78280,0,59194,17434,1652,4454
12,11,1211,"千葉11区",205814,92689,26615,66074,109357,0,97306,9953,2098,3768
12,12,1212,"千葉12区",226197,128347,24264,104083,92006,0,79899,10216,1891,5844
12,13,1213,"千葉13区",242390,78645,19974,58671,158050,0,94945,60139,2966,5695
12,14,1214,"千葉14区",248337,88607,16008,72599,152915,0,73799,75944,3172,6815
13,1,1301,"東京1区",165059,71004,19798,51206,86454,72970,3851,8022,1611,7601
13,2,1302,"東京2区",183140,71449,25365,46084,104310,90682,1618,10331,1679,7381
13,3,1303,"東京3区",224625,91234,25657,65577,126418,106090,2372,16004,1952,6973
13,4,1304,"東京4区",255666,117374,22584,94790,126833,97502,2124,24947,2260,11459
13,5,1305,"東京5区",207326,72677,27801,44876,128291,106257,4271,15658,2105,6358
13,6,1306,"東京6区",224594,80577,26717,53860,137376,107827,14353,13044,2152,6641
13,7,1307,"東京7区",198367,89318,29759,59559,101856,86378,3704,10129,1645,7193
13,8,1308,"東京8区",218443,67949,25910,42039,144998,117482,16530,9054,1932,5496
13,9,1309,"東京9区",168914,58216,17301,40915,105611,77975,13399,12049,2188,5087
13,10,1310,"東京10区",247410,81282,28759,52523,158824,137201,4247,14958,2418,7304
13,11,1311,"東京11区",212075,73336,19465,53871,130667,109202,3379,15443,2643,8072
13,12,1312,"東京12区",205625,64939,18158,46781,132506,110187,2773,16777,2769,8180
13,13,1313,"東京13区",200718,74915,18304,56611,117394,93813,1509,19113,2959,8409
13,14,1314,"東京14区",233952,77883,24970,52913,148184,125888,2245,16845,3206,7885
13,15,1315,"東京15区",252480,92173,23592,68581,150344,130651,2599,14752,2342,9963
13,16,1316,"東京16区",234312,88514,19427,69087,136632,110688,2212,20372,3360,9166
13,17,1317,"東京17区",211801,72879,19746,53133,131276,106752,1650,19627,3247,7646
13,18,1318,"東京18区",228766,65765,22730,43035,157346,0,143524,11421,2401,5655
13,19,1319,"東京19区",187720,54457,16284,38173,128275,0,115336,10890,2049,4988
13,20,1320,"東京20区",226504,69214,17906,51308,150788,0,125490,21317,3981,6502
13,21,1321,"東京21区",228115,81179,16257,64922,141156,0,124105,14774,2277,5780
13,22,1322,"東京22区",245898,76394,24639,51755,162858,0,147521,12412,2925,6646
13,23,1323,"東京23区",203854,78235,16627,61608,119468,0,61274,55727,2467,6151
13,24,1324,"東京24区",212508,120607,16612,103995,86211,0,69140,15143,1928,5690
13,25,1325,"東京25区",233516,88126,17186,70940,138337,0,122574,12415,3348,7053
13,26,1326,"東京26区",242745,81674,30270,51404,153592,128276,3460,19507,2349,7479
13,27,1327,"東京27区",204963,59272,24473,34799,140256,121405,8450,8307,2094,5435
13,28,1328,"東京28区",182563,56026,18304,37722,121033,102943,5007,11020,2063,5504
13,29,1329,"東京29区",197300,70488,20042,50446,118346,97375,1752,16148,3071,8466
13,30,1330,"東京30区",246089,87504,19670,67834,152367,0,128847,20663,2857,6218
14,1,1401,"神奈川1区",244503,89709,17178,72531,147803,70357,26928,47880,2638,6991
14,2,1402,"神奈川2区",247877,71369,18346,53023,169432,89187,24384,52833,3028,7076
14,3,1403,"神奈川3区",270277,85813,20950,64863,176238,59478,34578,79434,2748,8226
14,4,1404,"神奈川4区",180983,59921,17768,42153,117028,17923,58746,38126,2233,4034
14,5,1405,"神奈川5区",215967,69576,15324,54252,141022,61489,31890,45549,2094,5369
14,6,1406,"神奈川6区",213838,64761,14781,49980,143351,74425,23397,43005,2524,5726
14,7,1407,"神奈川7区",182518,57931,16456,41475,120583,37272,16273,65471,1567,4004
14,8,1408,"神奈川8区",249240,74748,20424,54324,169274,53795,27282,85706,2491,5218
14,9,1409,"神奈川9区",198369,55967,17377,38590,137643,22365,21056,92144,2078,4759
14,10,1410,"神奈川10区",202171,78335,15837,62498,115945,18665,28056,66608,2616,7891
14,11,1411,"神奈川11区",207625,124613,14755,109858,78155,0,59083,17366,1706,4857
14,12,1412,"神奈川12区",242902,108457,18243,90214,128225,0,90043,35716,2466,6220
14,13,1413,"神奈川13区",205019,68815,13573,55242,130154,17669,76002,33702,2781,6050
14,14,1414,"神奈川14区",238581,111975,16509,95466,119642,22222,41414,53566,2440,6964
14,15,1415,"神奈川15区",252216,113883,18816,95067,131301,0,97935,30817,2549,7032
14,16,1416,"神奈川16区",231004,110280,16242,94038,115491,0,89808,23732,1951,5233
14,17,1417,"神奈川17区",265777,128422,22533,105889,131605,0,106611,22546,2448,5750
14,18,1418,"神奈川18区",261394,72943,25181,47762,181980,30339,31707,117041,2893,6471
14,19,1419,"神奈川19区",227479,71594,19325,52269,150279,41314,26823,79776,2366,5606
14,20,1420,"神奈川20区",196669,66986,13491,53495,124129,7518,67776,46463,2372,5554
15,1,1501,"新潟1区",226364,146743,19020,127723,75650,62301,11556,1047,746,3971
15,2,1502,"新潟2区",259794,151079,27381,123698,104228,45343,56360,1078,1447,4487
15,3,1503,"新潟3区",239520,141943,24578,117365,93754,26339,64591,1412,1412,3823
15,4,1504,"新潟4区",227562,181029,20695,160334,44784,0,43238,985,561,1749
15,5,1505,"新潟5区",226515,191938,26599,165339,31729,0,28737,2305,687,2848
16,1,1601,"富山1区",177010,151568,12754,138814,21272,0,18586,2227,459,4170
16,2,1602,"富山2区",159990,100033,13396,86637,57549,0,55055,1610,884,2408
16,3,1603,"富山3区",236529,139321,20611,118710,92983,0,85720,5942,1321,4225
17,1,1701,"石川1区",246921,201619,18453,183166,38835,0,33733,4234,868,6467
17,2,1702,"石川2区",221681,125786,18436,107350,93443,0,89246,3315,882,2452
17,3,1703,"石川3区",149204,89591,16960,72631,58229,0,55182,2458,589,1384
18,1,1801,"福井1区",254018,179729,23162,156567,69769,0,64877,3873,1019,4520
18,2,1802,"福井2区",176184,115500,17461,98039,58448,0,54970,2826,652,2236
19,1,1901,"山梨1区",269658,147022,30234,116788,118212,0,110109,6495,1608,4424
19,2,1902,"山梨2区",168442,97152,27263,69889,69450,0,58631,9978,841,1840
20,1,2001,"長野1区",276747,212223,33976,178247,57704,0,53643,2899,1162,6820
20,2,2002,"長野2区",246563,172566,32688,139878,68817,0,64932,2586,1299,5180
20,3,2003,"長野3区",249909,167520,32584,134936,78959,0,73771,4223,965,3430
20,4,2004,"長野4区",157867,96300,18387,77913,60170,0,56449,3125,596,1397
20,5,2005,"長野5区",190361,122433,26381,96052,65291,0,62647,1737,907,2637
21,1,2101,"岐阜1区",213571,136933,19083,117850,70383,0,45092,23570,1721,6255
21,2,2102,"岐阜2区",193842,95611,18130,77481,95517,0,75937,18353,1227,2714
21,3,2103,"岐阜3区",264899,122612,24252,98360,137464,0,101875,33799,1790,4823
21,4,2104,"岐阜4区",215808,142590,24259,118331,70753,0,53406,16426,921,2465
21,5,2105,"岐阜5区",173535,105017,16356,88661,65975,0,39575,25368,1032,2543
22,1,2201,"静岡1区",249367,164331,22547,141784,78871,56370,18151,3310,1040,6165
22,2,2202,"静岡2区",252426,142471,25342,117129,106725,0,103356,2193,1176,3230
22,3,2203,"静岡3区",260675,152093,24650,127443,105038,0,101607,2512,919,3544
22,4,2204,"静岡4区",201488,143481,19231,124250,53872,21213,29252,2660,747,4135
22,5,2205,"静岡5区",285199,181092,23308,157784,102227,0,91720,9743,764,1880
22,6,2206,"静岡6区",245786,155861,28627,127234,86843,0,77325,8465,1053,3082
22,7,2207,"静岡7区",213842,118876,23268,95608,93340,62079,22629,8150,482,1626
22,8,2208,"静岡8区",257537,142594,20962,121632,112847,82768,24893,4580,606,2096
23,1,2301,"愛知1区",239091,97075,20138,76937,135024,92547,35626,4637,2214,6992
23,2,2302,"愛知2区",249781,87568,17125,70443,155693,103796,44504,5018,2375,6520
23,3,2303,"愛知3区",260662,88765,17221,71544,165414,104540,54978,3569,2327,6483
23,4,2304,"愛知4区",220927,90031,15849,74182,124998,89773,30055,3212,1958,5898
23,5,2305,"愛知5区",210568,83056,16234,66822,120943,67921,45968,4776,2278,6569
23,6,2306,"愛知6区",225112,112579,14951,97628,107000,0,99125,6204,1671,5533
23,7,2307,"愛知7区",231991,79341,14608,64733,148243,0,143603,2826,1814,4407
23,8,2308,"愛知8区",283592,126716,20196,106520,151488,0,147406,2038,2044,5388
23,9,2309,"愛知9区",249206,93079,22587,70492,150651,0,137497,10443,2711,5476
23,10,2310,"愛知10区",213155,104511,16997,87514,102622,0,86483,14253,1886,6022
23,11,2311,"愛知11区",263793,187951,15802,172149,68597,0,65466,1779,1352,7245
23,12,2312,"愛知12区",301913,190535,23695,166840,104004,0,100346,1861,1797,7374
23,13,2313,"愛知13区",285204,133047,19225,113822,145352,0,141437,2008,1907,6805
23,14,2314,"愛知14区",202174,123723,20179,103544,75031,0,70761,3082,1188,3420
23,15,2315,"愛知15区",240956,179892,30270,149622,54746,0,43259,10325,1162,6318
23,16,2316,"愛知16区",251208,105636,16874,88762,139699,0,125139,12145,2415,5873
24,1,2401,"三重1区",225032,160832,17247,143585,57730,0,50397,5908,1425,6470
24,2,2402,"三重2区",258866,171434,19163,152271,79942,0,62912,15088,1942,7490
24,3,2403,"三重3区",262483,150849,18263,132586,103434,0,71070,30190,2174,8200
24,4,2404,"三重4区",172806,110287,20276,90011,58222,0,52145,4425,1652,4297
25,1,2501,"滋賀1区",192983,110051,14659,95392,78034,0,32040,44394,1600,4898
25,2,2502,"滋賀2区",287012,164384,23140,141244,116100,0,100089,13852,2159,6528
25,3,2503,"滋賀3区",253527,121121,16666,104455,127029,0,96981,27968,2080,5377
26,1,2601,"京都1区",230309,103608,25496,78112,118672,84779,9834,21982,2077,8029
26,2,2602,"京都2区",149126,74055,15358,58697,69799,47757,4870,15639,1533,5272
26,3,2603,"京都3区",196393,76177,14255,61922,114377,31744,51946,28679,2008,5839
26,4,2604,"京都4区",222275,102245,21078,81167,113018,59323,33219,18182,2294,7012
26,5,2605,"京都5区",146557,115679,18016,97663,27529,0,21365,5421,743,3349
26,6,2606,"京都6区",263336,98218,19423,78795,158034,0,100189,54494,3351,7084
27,1,2701,"大阪1区",223373,83149,19812,63337,130838,91821,25313,11254,2450,9386
27,2,2702,"大阪2区",227386,79718,19169,60549,137551,87560,37242,9350,3399,10117
27,3,2703,"大阪3区",170616,64515,11842,52673,97378,66320,22189,6053,2816,8723
27,4,2704,"大阪4区",219921,73815,16294,57521,137810,90852,29853,14607,2498,8296
27,5,2705,"大阪5区",226588,82361,14248,68113,134671,76646,35126,19850,3049,9556
27,6,2706,"大阪6区",208968,70333,14711,55622,129553,34240,81884,9738,3691,9082
27,7,2707,"大阪7区",229496,86508,13156,73352,136335,0,116852,17137,2346,6653
27,8,2708,"大阪8区",242288,92643,15919,76724,142850,0,115316,24664,2870,6795
27,9,2709,"大阪9区",216112,84358,13930,70428,127120,0,102779,22201,2140,4634
27,10,2710,"大阪10区",177943,75134,9860,65274,97681,0,69612,25968,2101,5128
27,11,2711,"大阪11区",215368,90706,11978,78728,118329,0,88627,26959,2743,6333
27,12,2712,"大阪12区",188187,67851,11956,55895,113402,0,98608,11566,3228,6934
27,13,2713,"大阪13区",210408,111326,15278,96048,89976,0,77675,9555,2746,9106
27,14,2714,"大阪14区",239616,95340,16216,79124,136799,0,122764,10305,3730,7477
27,15,2715,"大阪15区",210781,74427,14323,60104,129663,2446,116744,7251,3222,6691
27,16,2716,"大阪16区",185204,66205,11749,54456,112540,28684,75096,6370,2390,6459
27,17,2717,"大阪17区",179215,66412,10996,55416,105937,33023,65493,5180,2241,6866
27,18,2718,"大阪18区",241831,90622,15362,75260,142956,0,132145,7280,3531,8253
27,19,2719,"大阪19区",174484,67670,12010,55660,102072,0,91884,8199,1989,4742
28,1,2801,"兵庫1区",229540,97475,14617,82858,124888,58523,26144,38257,1964,7177
28,2,2802,"兵庫2区",210784,84993,13654,71339,117794,63523,32373,19425,2473,7997
28,3,2803,"兵庫3区",164914,56316,8687,47629,103432,68911,20291,12333,1897,5166
28,4,2804,"兵庫4区",253560,129124,21098,108026,118207,29888,77274,8911,2134,6229
28,5,2805,"兵庫5区",231968,150685,25068,125617,77953,0,47208,29096,1649,3330
28,6,2806,"兵庫6区",241949,89032,14167,74865,146057,0,69288,74118,2651,6860
28,7,2807,"兵庫7区",254516,100763,15771,84992,147083,0,68567,75911,2605,6670
28,8,2808,"兵庫8区",200317,95039,11709,83330,98192,0,34842,60843,2507,7086
28,9,2809,"兵庫9区",205398,111969,21361,90608,87544,0,75868,9834,1842,5885
28,10,2810,"兵庫10区",202244,90443,10583,79860,106127,0,97399,6796,1932,5674
28,11,2811,"兵庫11区",248928,192945,15034,177911,53348,0,46185,6135,1028,2635
28,12,2812,"兵庫12区",169360,94742,14177,80565,72328,0,67156,4107,1065,2290
29,1,2901,"奈良1区",219157,100702,15414,85288,113870,0,33013,78879,1978,4585
29,2,2902,"奈良2区",221194,75470,17958,57512,140682,0,80260,57493,2929,5042
29,3,2903,"奈良3区",197492,81574,20721,60853,111137,0,74255,34429,2453,4781
30,1,3001,"和歌山1区",230210,167966,21198,146768,55402,0,36795,17236,1371,6842
30,2,3002,"和歌山2区",234927,148352,40880,107472,82739,0,66091,15164,1484,3836
31,1,3101,"鳥取1区",146380,119230,14645,104585,23360,0,20956,1790,614,3790
31,2,3102,"鳥取2区",146841,96575,16299,80276,47692,0,39568,7324,800,2574
32,1,3201,"島根1区",167231,138741,16506,122235,25582,0,18558,6451,573,2908
32,2,3202,"島根2区",193652,164963,19971,144992,24618,0,21960,2106,552,4071
