"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
12,3,1203,"千葉3区",26986,10448,5483,5691,847,4272,240,5,9930,2112,2369,783,4666,0
12,4,1204,"千葉4区",34152,13079,6425,6425,903,6838,479,3,13256,2740,4638,169,5708,1
12,5,1205,"千葉5区",33183,11714,5970,6319,921,7687,571,1,13478,1975,4764,553,6186,0
12,6,1206,"千葉6区",32859,11668,6077,6367,991,7254,497,5,12403,2695,3727,281,5700,0
12,7,1207,"千葉7区",25152,9915,4798,4420,594,4672,750,3,10950,2226,3665,300,4759,0
12,8,1208,"千葉8区",29737,11193,5514,5785,763,5723,758,1,11345,2154,3182,953,5056,0
12,9,1209,"千葉9区",31127,11613,6223,6483,1008,5505,291,4,10608,2215,3234,386,4772,1
12,10,1210,"千葉10区",23829,9352,4977,5196,818,3336,147,3,8022,934,3357,692,3039,0
12,11,1211,"千葉11区",23995,8711,4801,4971,871,4479,155,7,7414,907,2696,913,2898,0
12,12,1212,"千葉12区",26296,10605,5577,6094,1014,2829,169,8,9852,2064,2876,750,4162,0
12,13,1213,"千葉13区",35147,13312,6918,6856,943,6741,366,11,12207,2699,3378,593,5537,0
12,14,1214,"千葉14区",38764,13181,6589,6814,966,10464,745,5,12509,2625,3729,765,5390,0
13,1,1301,"東京1区",21283,7005,3124,3076,544,6358,1169,7,9345,900,2462,679,5304,0
13,2,1302,"東京2区",18109,7513,3076,2804,373,3685,656,2,10923,1336,3769,302,5516,0
13,3,1303,"東京3区",23245,9477,4130,3904,505,4563,663,3,12381,1529,5193,124,5535,0
13,4,1304,"東京4区",26501,9909,4713,4955,1087,5404,427,6,12052,1919,4395,20,5718,0
13,5,1305,"東京5区",30118,10909,5067,4814,410,8049,809,60,11984,1888,3564,229,6303,0
13,6,1306,"東京6区",35161,11780,5522,5514,532,10807,927,79,12379,2065,3881,144,6289,0
13,7,1307,"東京7区",24873,10506,4260,3866,349,5129,761,2,14775,1589,4186,400,8600,0
13,8,1308,"東京8区",26831,9535,4374,4518,546,7111,743,4,11204,1605,4044,151,5404,0
13,9,1309,"東京9区",26409,9409,4857,4926,613,6111,485,8,9553,1743,3013,126,4671,0
13,10,1310,"東京10区",34037,10413,4511,4395,925,10760,2988,45,13331,1900,4750,74,6607,0
13,11,1311,"東京11区",28693,10063,4569,4757,946,7738,615,5,11362,1637,3783,73,5869,0
13,12,1312,"東京12区",25358,9025,4179,4315,876,6231,727,5,11529,1443,4265,78,5743,0
13,13,1313,"東京13区",27201,10117,5139,5132,840,5534,432,7,10644,1578,3249,109,5708,0
13,14,1314,"東京14区",27054,9963,4899,4992,892,5787,515,6,11955,1515,4297,130,6013,0
13,15,1315,"東京15区",32355,13119,6009,5743,589,6095,794,6,15475,1830,5629,309,7707,0
13,16,1316,"東京16区",34682,12738,6598,6680,1521,6757,378,10,13741,2653,3820,127,7141,0
13,17,1317,"東京17区",28374,10491,5192,5398,952,5807,529,5,11437,1609,4085,187,5555,1
13,18,1318,"東京18区",34933,11758,5636,5655,968,9781,1133,2,12668,2367,4264,109,5928,0
13,19,1319,"東京19区",30317,10137,4948,5069,698,8477,904,84,11010,2042,3460,177,5331,0
13,20,1320,"東京20区",35090,12961,6877,6957,1096,6777,407,15,12113,2016,3968,332,5797,0
13,21,1321,"東京21区",39577,12496,6252,6525,1100,12259,936,9,12291,2026,4366,189,5710,0
13,22,1322,"東京22区",37102,12772,6012,5957,904,10254,1199,4,13967,2473,5019,94,6381,0
13,23,1323,"東京23区",33374,11296,6071,6371,997,7955,680,4,9968,2014,3045,617,4292,0
13,24,1324,"東京24区",35696,10668,5747,5875,2076,10657,668,5,9875,1644,3539,326,4366,0
13,25,1325,"東京25区",32262,12128,6293,6581,1250,5711,292,7,10985,1422,4544,343,4676,0
13,26,1326,"東京26区",32131,11764,5402,5280,524,7838,1317,6,13306,2101,4325,99,6781,0
13,27,1327,"東京27区",22750,7610,3420,3427,931,6632,693,37,10000,1327,3470,174,5029,0
13,28,1328,"東京28区",23108,8137,3987,4037,627,5800,513,7,9567,1522,3362,112,4571,0
13,29,1329,"東京29区",27350,10310,5115,5154,916,5298,552,5,10999,1558,3607,160,5674,0
13,30,1330,"東京30区",38022,13432,6784,6730,890,9444,734,8,13206,2499,4690,326,5691,0
14,1,1401,"神奈川1区",33015,11732,6080,6142,851,7629,573,8,11383,2411,3586,241,5145,0
14,2,1402,"神奈川2区",30852,11459,5738,5939,832,6325,558,1,11362,2132,3588,338,5304,0
14,3,1403,"神奈川3区",35119,13076,6345,6142,951,7957,645,3,14251,2398,5096,208,6549,0
14,4,1404,"神奈川4区",26127,9726,5105,5299,515,5080,402,0,8231,1876,2387,449,3519,0
14,5,1405,"神奈川5区",31512,11367,6261,6196,737,6486,461,4,11230,2238,3550,576,4866,0
14,6,1406,"神奈川6区",30528,10669,5481,5818,837,7018,700,5,10294,2227,3114,270,4683,0
14,7,1407,"神奈川7区",24295,8583,4057,4087,523,6282,758,5,10317,1729,3849,153,4586,0
14,8,1408,"神奈川8区",39712,13407,6985,7452,735,10299,827,7,12624,2690,3936,458,5539,1
14,9,1409,"神奈川9区",29445,9570,4867,4813,598,8857,676,64,10208,1777,3494,260,4677,0
14,10,1410,"神奈川10区",23312,9490,4614,4429,627,3836,311,5,11080,1967,3943,87,5083,0
14,11,1411,"神奈川11区",28947,9607,5315,6703,827,6167,328,0,8745,2114,1855,937,3839,0
14,12,1412,"神奈川12区",36040,13487,6760,6788,825,7695,482,3,13255,3180,4163,181,5731,0
14,13,1413,"神奈川13区",30119,11354,5904,6072,878,5526,381,4,11143,2397,2800,269,5677,0
14,14,1414,"神奈川14区",33643,12001,6373,6422,1157,7252,434,4,11412,1943,2848,1493,5128,0
14,15,1415,"神奈川15区",37975,13721,7339,7416,933,8036,436,94,13002,2532,3543,660,6267,0
14,16,1416,"神奈川16区",33898,11805,6295,6378,911,8069,438,2,11475,2187,3133,803,5351,1
14,17,1417,"神奈川17区",35208,12553,6625,6994,974,7649,407,6,11075,1802,3632,781,4860,0
14,18,1418,"神奈川18区",33269,12475,5904,5875,661,7604,746,4,15096,2480,5674,181,6760,1
14,19,1419,"神奈川19区",37301,13825,6991,6886,725,8188,640,46,13127,2809,4072,409,5837,0
14,20,1420,"神奈川20区",27218,9607,5064,5069,840,6177,457,4,9729,1969,2692,567,4501,0
15,1,1501,"新潟1区",26916,10586,5408,5458,1751,3342,366,5,10313,805,4121,2288,3099,0
15,2,1502,"新潟2区",32172,11686,6075,6478,1287,5811,784,51,10624,553,5202,1909,2960,0
15,3,1503,"新潟3区",28084,10880,5963,6334,1303,3151,116,337,9731,563,4400,2112,2656,0
15,4,1504,"新潟4区",27196,10759,5599,5852,1453,2830,703,0,9833,698,4107,1983,3045,0
15,5,1505,"新潟5区",23684,10175,5554,5846,602,1174,330,3,9024,651,4692,1208,2473,0
16,1,1601,"富山1区",21574,7734,4037,4087,798,4322,588,8,7867,606,2507,2285,2469,0
16,2,1602,"富山2区",17252,7030,4033,4242,600,1250,95,2,6424,214,3228,1414,1568,0
16,3,1603,"富山3区",25107,9992,5567,5777,870,2662,233,6,9321,529,4323,1992,2477,0
17,1,1701,"石川1区",35548,11873,6071,6397,950,9070,1179,8,11732,1330,3028,3425,3949,0
17,2,1702,"石川2区",29271,10979,5806,5782,626,5220,857,1,10750,694,3511,3691,2854,0
17,3,1703,"石川3区",16402,6373,3478,4028,897,1535,89,2,5807,268,2347,1842,1350,0
18,1,1801,"福井1区",31624,11977,6460,6650,721,5240,576,0,11273,604,3533,4069,3067,0
18,2,1802,"福井2区",20205,8688,4576,4666,722,1424,128,1,8242,408,3874,1476,2484,0
19,1,1901,"山梨1区",34750,12431,6744,8105,866,6106,491,7,12281,1163,4796,1949,4373,0
19,2,1902,"山梨2区",19715,7037,3910,4208,739,3699,122,0,6558,604,2955,734,2265,0
20,1,2001,"長野1区",31541,12581,6763,7099,1476,3124,494,4,11689,1531,5008,1116,4034,0
20,2,2002,"長野2区",29782,11629,6181,6734,856,4074,298,10,10661,928,3753,1623,4357,0
20,3,2003,"長野3区",29470,11892,6540,7117,964,2580,375,2,11216,1245,5184,433,4354,0
20,4,2004,"長野4区",18270,7173,4120,4220,534,2142,79,2,6826,327,3608,188,2703,0
20,5,2005,"長野5区",20580,9121,4969,4922,400,1023,139,6,8436,322,4884,267,2963,0
21,1,2101,"岐阜1区",26859,9786,5083,5414,777,5122,669,8,9469,2742,2452,742,3533,0
21,2,2102,"岐阜2区",24784,9751,5221,5423,702,3510,172,5,8318,923,2649,1776,2970,0
21,3,2103,"岐阜3区",35843,13999,7412,7539,1418,5240,233,2,12783,2566,3964,974,5279,0
21,4,2104,"岐阜4区",25073,10675,5610,5978,785,1914,109,2,9820,1339,3845,903,3733,0
21,5,2105,"岐阜5区",20802,8402,4415,4998,490,2355,139,3,7346,1168,2419,767,2992,0
22,1,2201,"静岡1区",30589,11764,5961,6267,776,5393,425,3,11106,1894,2592,2537,4083,0
22,2,2202,"静岡2区",28937,12324,6492,6973,631,2408,104,5,10905,2291,3847,1164,3603,0
