"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
40,6,4006,"福岡6区",30782,12193,6086,5826,1460,4993,218,6,12008,1717,5780,838,3673,0
40,7,4007,"福岡7区",21269,8916,4489,4597,1045,2118,99,5,8212,788,4037,749,2638,0
40,8,4008,"福岡8区",27114,10873,5649,5649,861,3708,371,3,10526,1584,4069,878,3995,0
40,9,4009,"福岡9区",30816,11662,5861,5953,878,5417,1034,11,11032,2648,3895,361,4128,0
40,10,4010,"福岡10区",29566,11754,5903,5847,1441,4323,290,8,11798,2435,4026,649,4688,0
40,11,4011,"福岡11区",18578,8141,4158,3969,633,1610,65,2,7763,912,3770,489,2592,0
41,1,4101,"佐賀1区",29378,11649,6093,6325,888,3967,444,12,11356,1480,3960,2146,3770,0
41,2,4102,"佐賀2区",26198,11439,6269,6457,636,1328,65,4,10948,710,5407,1916,2914,1
42,1,4201,"長崎1区",26645,9991,5182,5609,634,4566,654,9,9781,1052,3690,2009,3030,0
42,2,4202,"長崎2区",31897,14094,7403,7999,704,1573,119,5,13613,1332,6345,2029,3907,0
42,3,4203,"長崎3区",25553,11390,5648,5468,1044,1924,75,4,10809,1308,4566,1903,3032,0
43,1,4301,"熊本1区",39673,14107,7283,8034,1308,7993,944,4,14501,1735,5080,2649,5037,0
43,2,4302,"熊本2区",25475,10725,5257,5233,1011,3084,162,3,10867,998,4526,2099,3243,1
43,3,4303,"熊本3区",26094,12074,5654,5434,1034,1805,92,1,11538,826,6758,894,3060,0
43,4,4304,"熊本4区",27243,12289,6388,6450,848,1200,67,1,10957,463,6901,975,2618,0
44,1,4401,"大分1区",32896,13238,6608,6694,1508,4473,374,1,12906,1973,4183,2322,4428,0
44,2,4402,"大分2区",16244,7231,3802,3969,471,711,60,0,6307,661,1831,2009,1806,0
44,3,4403,"大分3区",21419,8824,4548,4824,826,2295,96,6,8247,948,2970,1773,2556,0
45,1,4501,"宮崎1区",29785,12101,6214,6323,714,4015,413,5,11686,1100,4174,2463,3949,0
45,2,4502,"宮崎2区",19703,8874,4557,4793,492,950,36,1,7982,717,3626,1499,2140,0
45,3,4503,"宮崎3区",20319,9331,4662,4670,919,711,26,0,8751,649,3010,2626,2466,0
46,1,4601,"鹿児島1区",29314,11305,5552,5958,871,4937,670,21,10551,1899,3945,1463,3244,0
46,2,4602,"鹿児島2区",25852,11391,6034,5880,663,1721,140,23,11153,1522,4638,1799,3194,0
46,3,4603,"鹿児島3区",23911,10755,5513,5584,875,1103,80,1,10064,1103,4201,1887,2873,0
46,4,4604,"鹿児島4区",24870,11236,5804,5144,1124,1258,65,239,10591,1022,3119,3033,3417,0
47,1,4701,"沖縄1区",24368,10212,5128,5221,1127,2545,110,25,10070,625,3454,1807,4184,0
47,2,4702,"沖縄2区",32434,13118,6450,6421,1315,4777,344,9,13507,1208,4895,1149,6255,0
47,3,4703,"沖縄3区",31888,13649,6776,6895,1586,2783,188,11,14498,1047,5504,981,6966,0
47,4,4704,"沖縄4区",29034,13860,6391,5995,902,1808,65,13,15191,1173,6355,1722,5941,0
