"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_うち住宅に住む一般世帯","一般世帯数_うち主世帯","一般世帯数_一戸建","一般世帯数_長屋建","一般世帯数_共同住宅","一般世帯数_共同住宅（1・2階建）","一般世帯数_共同住宅（3～5階建）","一般世帯数_共同住宅（6～10階建）","一般世帯数_共同住宅（11階建以上）","一般世帯数_その他"
13,30,1330,"東京30区",232000,229143,226145,67472,3613,154905,31276,66095,36211,21323,155
14,1,1401,"神奈川1区",247742,244402,241521,81168,2127,157952,26748,50620,46985,33599,274
14,2,1402,"神奈川2区",255872,253079,249622,87432,1574,160399,28545,50507,53437,27910,217
14,3,1403,"神奈川3区",274454,269895,265434,78387,1787,184982,43676,63743,54178,23385,278
14,4,1404,"神奈川4区",165795,164405,162182,97316,3153,61550,19550,22779,13746,5475,163
14,5,1405,"神奈川5区",184433,182363,180180,84024,1819,94240,23114,31104,28311,11711,97
14,6,1406,"神奈川6区",205757,203443,201083,88909,1709,110289,28681,41726,25561,14321,176
14,7,1407,"神奈川7区",175177,173292,171276,49268,1464,120382,32866,44640,34722,8154,162
14,8,1408,"神奈川8区",211807,209489,207155,79058,2922,125037,25031,62045,30939,7022,138
14,9,1409,"神奈川9区",192723,191408,189116,60994,3164,124873,33966,62483,21755,6669,85
14,10,1410,"神奈川10区",202882,197918,195616,46980,560,147890,23878,47817,37658,38537,186
14,11,1411,"神奈川11区",182254,180852,178558,108745,2107,67565,18324,22920,15042,11279,141
14,12,1412,"神奈川12区",212787,209586,206942,97990,4103,104629,33930,41762,17014,11923,220
14,13,1413,"神奈川13区",197417,196114,194084,93155,2027,98749,33814,39699,19196,6040,153
14,14,1414,"神奈川14区",217699,215722,213299,112190,3206,97785,28083,37756,19564,12382,118
14,15,1415,"神奈川15区",227041,224509,221833,128282,4117,89231,31726,32077,16217,9211,203
14,16,1416,"神奈川16区",203643,200808,197975,98992,2678,96130,34175,33635,16124,12196,175
14,17,1417,"神奈川17区",225099,220860,218196,142953,4786,70203,35060,24345,7453,3345,254
14,18,1418,"神奈川18区",248194,244346,241920,49104,1769,190844,32074,93394,46227,19149,203
14,19,1419,"神奈川19区",186457,184748,182719,55084,5605,121919,17445,57570,38123,8781,111
14,20,1420,"神奈川20区",192889,191942,189608,80404,1965,107142,31698,42888,20046,12510,97
15,1,1501,"新潟1区",194209,192575,191104,109600,2331,79012,33250,20203,15887,9672,161
15,2,1502,"新潟2区",180780,179659,178391,139116,1898,37266,27749,6683,2255,579,111
15,3,1503,"新潟3区",163338,161226,160116,135276,1820,22917,17172,5244,315,186,103
15,4,1504,"新潟4区",167319,165147,163969,123469,947,39398,23792,10650,3032,1924,155
15,5,1505,"新潟5区",157150,155183,154170,122407,1748,29846,17054,10032,1254,1506,169
16,1,1601,"富山1区",138412,136342,135226,87023,1689,46370,17728,19437,5817,3388,144
16,2,1602,"富山2区",106469,104124,103325,88960,934,13361,8218,4946,190,7,70
16,3,1603,"富山3区",158126,155918,154341,125518,1217,27503,14814,10068,2199,422,103
17,1,1701,"石川1区",207119,205022,202858,114978,2130,85550,34632,33616,12783,4519,200
17,2,1702,"石川2区",153519,151317,149457,110194,1440,37663,22060,12596,2956,51,160
17,3,1703,"石川3区",108197,106261,105442,91384,1128,12814,8257,3729,770,58,116
18,1,1801,"福井1区",170442,167398,165939,122810,1236,41708,16879,18617,5205,1007,185
18,2,1802,"福井2区",120250,116489,115366,90767,1284,23158,12061,9772,1325,0,157
19,1,1901,"山梨1区",216163,214136,211140,146906,2422,61610,29123,25495,4704,2288,202
19,2,1902,"山梨2区",121894,120119,118860,91519,1270,25825,12981,10476,2083,285,246
20,1,2001,"長野1区",204765,202256,200685,137060,4509,58818,31462,18395,5285,3676,298
20,2,2002,"長野2区",186808,184524,182863,129604,3073,49962,26226,18647,3788,1301,224
20,3,2003,"長野3区",189815,187498,185543,142859,4210,38244,25376,11200,1077,591,230
20,4,2004,"長野4区",118960,117428,116000,85457,2248,28162,17323,9011,1099,729,133
20,5,2005,"長野5区",129631,128037,126890,101226,2692,22839,12816,9320,673,30,133
21,1,2101,"岐阜1区",173032,171125,169408,104324,2309,62570,22029,26638,8612,5291,205
21,2,2102,"岐阜2区",133364,131234,129948,101699,1727,26401,15501,8011,1524,1365,121
21,3,2103,"岐阜3区",192858,190018,187477,137764,2756,46776,23978,16672,4802,1324,181
21,4,2104,"岐阜4区",153712,150334,148646,118925,2068,27438,14082,11708,1434,214,215
21,5,2105,"岐阜5区",126063,124441,122917,97738,2131,22963,11478,8169,2143,1173,85
22,1,2201,"静岡1区",201232,199375,196984,108480,1849,86438,26264,42437,12354,5383,217
22,2,2202,"静岡2区",172207,170276,168339,127946,1138,39143,21905,13505,2123,1610,112
22,3,2203,"静岡3区",178120,174889,172851,123779,1848,47051,25788,18946,1485,832,173
22,4,2204,"静岡4区",152650,150580,148750,107406,1551,39679,20842,14693,2821,1323,114
22,5,2205,"静岡5区",212825,209706,207387,136447,2160,68537,28090,31816,5666,2965,243
22,6,2206,"静岡6区",220730,216940,214232,137383,1921,74531,25451,32044,11286,5750,397
22,7,2207,"静岡7区",142606,140602,138852,105703,2335,30665,15945,12676,1540,504,149
22,8,2208,"静岡8区",200599,197744,195585,108093,3693,83579,25142,41448,10657,6332,220
23,1,2301,"愛知1区",261978,258705,255439,61450,2395,191228,14726,41588,65348,69566,366
23,2,2302,"愛知2区",236770,229625,227436,75498,2155,149527,17701,67864,45724,18238,256
23,3,2303,"愛知3区",234127,231490,229463,89093,3310,136919,24363,63420,34479,14657,141
23,4,2304,"愛知4区",211382,207824,205366,74862,2652,127661,17707,41252,42605,26097,191
23,5,2305,"愛知5区",204497,202007,200068,76702,4481,118670,28221,42299,30738,17412,215
23,6,2306,"愛知6区",182993,181052,178685,106496,4236,67789,20674,27397,12188,7530,164
23,7,2307,"愛知7区",180757,177208,175129,99554,1542,73894,22404,28237,13680,9573,139
23,8,2308,"愛知8区",220121,212689,210047,139503,3773,66517,25418,25145,10939,5015,254
23,9,2309,"愛知9区",179884,176798,174511,118099,3369,52878,19933,16372,9829,6744,165
23,10,2310,"愛知10区",173321,171945,170068,106675,4065,59151,20743,21769,11688,4951,177
23,11,2311,"愛知11区",200738,187953,185757,108566,2390,74661,25541,28137,12840,8143,140
23,12,2312,"愛知12区",218332,212361,209707,134498,2561,72377,31457,25113,8789,7018,271
23,13,2313,"愛知13区",221053,211797,208255,111997,3143,92854,31197,38562,13197,9898,261
23,14,2314,"愛知14区",138821,135866,134062,97592,1952,34405,19297,11028,3133,947,113
23,15,2315,"愛知15区",172435,168713,166513,108081,1975,56276,25660,21009,6877,2730,181
23,16,2316,"愛知16区",195917,192234,189336,117945,2967,68249,27326,25069,9338,6516,175
24,1,2401,"三重1区",182746,180000,178376,128121,1834,48228,25322,15879,4861,2166,193
24,2,2402,"三重2区",207015,201695,199453,141820,2566,54856,30923,17998,4633,1302,211
24,3,2403,"三重3区",208803,203309,201103,137575,1996,61352,28463,19412,6442,7035,180
24,4,2404,"三重4区",142619,139953,138615,118787,1744,17907,10063,6365,1163,316,177
25,1,2501,"滋賀1区",163874,161997,160714,102679,1891,55997,12865,20693,10141,12298,147
25,2,2502,"滋賀2区",205701,200928,199043,149546,2796,46556,25943,15368,2715,2530,145
25,3,2503,"滋賀3区",200954,196818,194717,117753,1863,74984,20543,27355,13513,13573,117
26,1,2601,"京都1区",264408,262256,259713,101519,2801,155144,12215,65679,50561,26689,249
26,2,2602,"京都2区",170427,168929,167175,81988,2425,82635,15038,46703,18874,2020,127
26,3,2603,"京都3区",194865,192980,191042,95275,3275,92388,12368,47346,22195,10479,104
26,4,2604,"京都4区",215490,213714,211935,126508,2170,83137,14225,42269,21429,5214,120
26,5,2605,"京都5区",118552,115903,114693,87293,3074,24180,13679,8602,1250,649,146
26,6,2606,"京都6区",225161,222862,220536,152200,2964,65212,12985,36550,11580,4097,160
27,1,2701,"大阪1区",314327,311704,307918,42473,3467,261443,1674,28028,95670,136071,535
27,2,2702,"大阪2区",275687,273970,270615,97797,12737,159872,8645,55279,57488,38460,209
27,3,2703,"大阪3区",230454,227437,224199,64251,6989,152817,8287,54336,50115,40079,142
27,4,2704,"大阪4区",267828,266271,263584,42528,3880,216958,3141,33361,71658,108798,218
27,5,2705,"大阪5区",282245,279385,276308,60365,3940,211842,7017,62932,70296,71597,161
27,6,2706,"大阪6区",219147,217362,214796,82302,10714,121612,10502,46363,32151,32596,168
27,7,2707,"大阪7区",220168,217669,215669,58501,3547,153459,8509,51548,51950,41452,162
27,8,2708,"大阪8区",225301,223255,220806,77008,5019,138616,14663,59065,43449,21439,163
27,9,2709,"大阪9区",194156,192364,190476,83398,2806,104166,14005,47726,27252,15183,106
27,10,2710,"大阪10区",165369,163500,161787,85687,2396,73604,8772,38661,15344,10827,100
27,11,2711,"大阪11区",201552,199658,197801,112829,3047,81802,11817,39881,17600,12504,123
27,12,2712,"大阪12区",176430,175340,173372,89465,7803,75953,11415,34956,14133,15449,151
27,13,2713,"大阪13区",231950,230524,228333,110706,6643,110831,15567,40934,32161,22169,153
27,14,2714,"大阪14区",216763,215045,212348,129185,7402,75572,15820,31575,16730,11447,189
27,15,2715,"大阪15区",192096,190844,188649,120306,6080,62089,12141,25900,13309,10739,174
27,16,2716,"大阪16区",182945,180910,179271,70784,4492,103838,12440,41878,21838,27682,157
27,17,2717,"大阪17区",167772,166320,164859,82985,3396,78374,10119,39935,10230,18090,104
27,18,2718,"大阪18区",214839,213125,210578,120151,5124,85174,16188,33665,18858,16463,129
27,19,2719,"大阪19区",147966,145939,144322,95741,2633,45853,11565,18106,9412,6770,95
28,1,2801,"兵庫1区",263153,256249,253728,49337,1457,202630,9277,65930,60229,67194,304
28,2,2802,"兵庫2区",215405,209249,206995,96037,3370,107358,12482,37462,30314,27100,230
28,3,2803,"兵庫3区",171848,167569,166335,66380,2733,97098,8232,46400,22400,20066,124
28,4,2804,"兵庫4区",203187,199109,196688,127901,3195,65430,18154,26505,9319,11452,162
28,5,2805,"兵庫5区",172152,169435,168220,131542,2034,34507,11599,11003,6333,5572,137
28,6,2806,"兵庫6区",221394,218957,216796,106429,6239,103949,15733,39226,28016,20974,179
28,7,2807,"兵庫7区",241473,238266,236351,73453,2920,159846,12118,69785,49629,28314,132
28,8,2808,"兵庫8区",221148,218351,216282,77826,5336,132848,15978,60751,36040,20079,272
28,9,2809,"兵庫9区",185694,183466,181770,102452,3285,75814,15539,27844,19736,12695,219
28,10,2810,"兵庫10区",168902,165163,163678,117370,1849,44350,17282,14106,7783,5179,109
28,11,2811,"兵庫11区",206957,204081,202721,119192,3582,79743,28934,23096,20788,6925,204
28,12,2812,"兵庫12区",128045,126323,125352,104432,1722,19066,11980,4547,1874,665,132
29,1,2901,"奈良1区",200855,199629,197733,112481,4407,80723,16579,40472,21360,2312,122
29,2,2902,"奈良2区",177582,174459,172820,126121,3761,42752,16048,17341,7504,1859,186
29,3,2903,"奈良3区",165471,163903,162476,117408,5859,39044,14601,14713,8639,1091,165
30,1,3001,"和歌山1区",202591,200351,198062,137710,5504,54645,22275,18140,9560,4670,203
30,2,3002,"和歌山2区",190898,188336,186428,150732,5897,29534,14841,11540,1538,1615,265
31,1,3101,"鳥取1区",110038,108871,107884,75050,1844,30883,15417,11475,2499,1492,107
31,2,3102,"鳥取2区",109031,107794,106755,76945,2049,27662,15568,8192,3011,891,99
32,1,3201,"島根1区",125340,123741,122717,83167,2348,37115,17119,13607,4456,1933,87
32,2,3202,"島根2区",143122,140419,139081,103134,2966,32821,19479,10814,1628,900,160
33,1,3301,"岡山1区",194358,191861,189560,95380,2376,91585,27205,32554,19114,12712,219
33,2,3302,"岡山2区",210038,206983,204434,140080,3888,60312,33561,16859,7659,2233,154
33,3,3303,"岡山3区",191952,188290,185921,149052,4066,32581,20570,10572,1439,0,222
33,4,3304,"岡山4区",203263,199418,197406,132946,5596,58729,35389,13721,6537,3082,135
34,1,3401,"広島1区",246358,242171,239062,72519,3362,162813,13894,51183,46562,51174,368
34,2,3402,"広島2区",211829,208962,206508,99298,2430,104554,14857,43940,27638,18119,226
34,3,3403,"広島3区",216495,212613,210419,127413,4084,78737,22311,30746,16102,9578,185
34,4,3404,"広島4区",217768,213319,210556,137452,3532,69316,23082,27887,9286,9061,256
34,5,3405,"広島5区",155778,151201,149219,114192,3951,30890,14701,11466,2335,2388,186
34,6,3406,"広島6区",192976,188939,186146,119866,3939,62079,28964,20010,7722,5383,262
