"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
23,9,2309,"愛知9区",226619,8575,52731,7087,2474,133456,130,3801,37458,3663,5855
23,10,2310,"愛知10区",196158,7748,43721,7784,1987,114163,97,2670,35365,2673,5792
23,11,2311,"愛知11区",247991,15637,26719,6543,6689,173787,176,4257,23678,2343,7221
23,12,2312,"愛知12区",278218,14681,35004,8134,5154,189840,163,5307,33483,3244,7523
23,13,2313,"愛知13区",265979,15976,41821,3722,5631,166955,185,4513,39785,2666,7502
23,14,2314,"愛知14区",181995,10622,22316,2080,2803,129027,95,3261,19954,2111,3629
23,15,2315,"愛知15区",210686,10451,18475,5472,5010,148685,181,4111,24965,2592,5899
23,16,2316,"愛知16区",234334,13016,43944,6975,2314,138583,151,3948,41224,3206,6087
24,1,2401,"三重1区",207785,9224,21068,5339,2349,150449,171,2844,22273,2740,6088
24,2,2402,"三重2区",239703,10273,26046,6101,2802,175969,170,4825,21439,2604,7459
24,3,2403,"三重3区",244220,11791,35620,10505,3578,166065,305,3560,23609,2891,8018
24,4,2404,"三重4区",152530,8425,9902,2378,1353,116719,81,2747,12498,2644,4391
25,1,2501,"滋賀1区",178324,13105,59428,12830,1842,82848,209,6639,20986,2459,4855
25,2,2502,"滋賀2区",263872,11633,30403,5124,3851,192442,217,2886,29576,2970,6909
25,3,2503,"滋賀3区",236861,11725,47210,10922,3460,138442,185,6553,40013,2795,6221
26,1,2601,"京都1区",204813,24897,56088,36164,2407,29156,1081,14771,61410,2452,8038
26,2,2602,"京都2区",133768,14064,42174,20037,1434,26442,690,10714,33449,1793,5777
26,3,2603,"京都3区",182138,13544,73681,12061,1857,43865,329,18617,38324,2369,5784
26,4,2604,"京都4区",201197,13600,57565,24348,1644,66940,377,16797,41822,2650,6738
26,5,2605,"京都5区",128541,11204,4451,2034,1851,94085,87,1953,13042,1830,3519
26,6,2606,"京都6区",243913,14986,83272,19215,2588,97107,269,20375,33803,3013,7341
27,1,2701,"大阪1区",203561,26759,106896,6782,1438,15489,1192,2611,52471,2285,9029
27,2,2702,"大阪2区",208217,12715,92980,6471,1571,27771,357,5771,74455,2551,8918
27,3,2703,"大阪3区",158774,9892,72321,9535,1824,20806,225,3833,51118,2071,7577
27,4,2704,"大阪4区",203627,21320,108716,9852,1444,16117,973,3384,57411,2136,7803
27,5,2705,"大阪5区",212340,17163,108359,9216,1952,21900,437,6770,62873,2427,8842
27,6,2706,"大阪6区",194257,11435,79043,7038,1502,28827,227,8567,72366,2556,8043
27,7,2707,"大阪7区",216340,17470,106634,13617,2324,31497,402,12353,56618,2778,6834
27,8,2708,"大阪8区",226369,17906,107694,22444,2693,37233,569,13521,54185,3056,7001
27,9,2709,"大阪9区",202182,13362,81098,21312,2839,44791,332,15194,56044,2714,5023
27,10,2710,"大阪10区",168083,9557,72896,23732,2343,30838,266,14981,50421,1861,5018
27,11,2711,"大阪11区",203390,11880,85222,23030,1662,48163,193,20742,41967,2471,5959
27,12,2712,"大阪12区",176231,10018,66023,10245,1671,36597,189,15559,55713,2292,6419
27,13,2713,"大阪13区",195130,12351,68476,4308,1444,35040,193,14220,71427,2526,7832
27,14,2714,"大阪14区",223400,11962,79818,6679,2445,55090,199,16380,70501,2844,7267
27,15,2715,"大阪15区",196458,10050,65801,13694,2654,72931,183,14672,39571,2636,6450
27,16,2716,"大阪16区",173455,10385,73470,8120,2377,38329,223,5622,49612,2233,6042
27,17,2717,"大阪17区",168219,8700,57699,12361,2313,56859,195,10252,39521,2387,6014
27,18,2718,"大阪18区",226469,10825,73956,9657,3373,86071,284,12787,50450,3122,7688
27,19,2719,"大阪19区",162474,7159,52208,5143,2892,73840,252,10237,25753,2226,5133
28,1,2801,"兵庫1区",214923,27141,120886,22002,4187,27881,888,7957,24481,2617,7109
28,2,2802,"兵庫2区",197130,17659,83643,25252,2768,61098,390,9922,18365,2659,6900
28,3,2803,"兵庫3区",156227,11722,79465,34278,2047,39685,264,9925,10080,1976,4726
28,4,2804,"兵庫4区",232462,12837,47929,20509,2780,138243,154,8008,21729,2570,6412
28,5,2805,"兵庫5区",206900,12778,37827,16849,2279,132758,177,4758,16813,2595,4063
28,6,2806,"兵庫6区",227782,16980,99329,27101,2364,47713,363,17083,50771,2890,7137
28,7,2807,"兵庫7区",238745,16261,125548,22441,3087,38192,825,9704,56916,2738,7302
28,8,2808,"兵庫8区",188608,11765,77092,15334,2041,28650,309,9912,67171,2468,6096
28,9,2809,"兵庫9区",184037,11851,56156,13307,2475,81720,154,7344,27859,2715,5659
28,10,2810,"兵庫10区",191661,7872,43599,5542,3195,98174,112,7604,42662,2148,5479
28,11,2811,"兵庫11区",233894,12991,40050,11433,2342,132926,347,7090,45428,2631,4509
28,12,2812,"兵庫12区",155183,7393,16225,3208,1360,112854,77,4116,17344,2017,2700
29,1,2901,"奈良1区",203743,13360,91680,29377,1884,69951,259,8157,23409,2381,4808
29,2,2902,"奈良2区",203236,10732,69345,9998,2048,94353,139,10927,27259,2336,5395
29,3,2903,"奈良3区",176771,9289,47186,3943,1911,98679,125,6819,18747,2272,4846
30,1,3001,"和歌山1区",209012,9144,20596,5776,1474,127147,268,20332,32618,3050,6512
30,2,3002,"和歌山2区",194047,10525,16506,3146,1857,140295,127,10092,16477,2763,4537
31,1,3101,"鳥取1区",131735,9351,4996,3564,1537,98419,177,999,13918,1665,3495
31,2,3102,"鳥取2区",130542,6978,4639,1773,943,103052,140,899,13142,1595,2693
32,1,3201,"島根1区",150725,10610,3185,5233,1558,112780,284,2067,16223,2038,3346
32,2,3202,"島根2区",173681,12070,4024,2214,2109,137057,170,1823,13420,2119,3953
33,1,3301,"岡山1区",192797,14236,16574,7747,1248,110728,342,5140,46061,2567,4303
33,2,3302,"岡山2区",232746,8714,18345,9559,2165,156528,285,7565,38660,3240,6234
33,3,3303,"岡山3区",222550,12363,11694,2860,1523,172096,160,4243,19669,2604,6071
33,4,3304,"岡山4区",219523,9283,19013,3828,1269,155869,199,5485,33136,2417,6782
34,1,3401,"広島1区",241856,31932,36467,35280,2818,69096,1367,15509,67961,4758,6951
34,2,3402,"広島2区",227742,15929,47095,23190,2293,101436,597,13682,42132,5125,6425
34,3,3403,"広島3区",246504,17301,48033,24937,2806,122694,380,14388,31529,6431,7124
34,4,3404,"広島4区",234194,24823,24587,15438,3020,135643,414,12170,29444,5425,6195
34,5,3405,"広島5区",166815,11434,7747,5231,2249,117254,223,7918,17241,3887,3981
34,6,3406,"広島6区",214074,10851,13073,4506,2804,149795,305,6366,30324,2935,7364
35,1,3501,"山口1区",225993,14093,8795,3207,1534,167669,295,3951,30788,2654,3652
35,2,3502,"山口2区",200671,13402,12265,4019,1671,144461,304,6075,25015,2972,3909
35,3,3503,"山口3区",192931,15672,12557,10213,1736,138911,358,3614,13477,2926,3581
36,1,3601,"徳島1区",185168,9478,5252,3181,1067,129221,258,6252,32599,2159,5061
36,2,3602,"徳島2区",126988,4668,4698,1088,916,101853,67,2620,11872,1503,3236
37,1,3701,"香川1区",172150,11185,13650,3679,967,102098,254,8177,37423,3236,4227
37,2,3702,"香川2区",135671,5357,10986,1128,841,102605,77,3878,14188,1469,3100
37,3,3703,"香川3区",128643,6630,6229,867,665,97760,85,3235,14575,1444,3323
38,1,3801,"愛媛1区",216670,15034,13672,5818,936,108414,447,25640,51607,3912,6610
38,2,3802,"愛媛2区",207052,12174,4184,1615,1281,147643,208,11492,30056,3443,4837
38,3,3803,"愛媛3区",153455,11713,6358,2306,1983,105369,204,9261,17171,2772,3543
39,1,3901,"高知1区",157594,9697,7026,2555,1088,101447,430,9806,29871,2415,4287
39,2,3902,"高知2区",135215,7831,4066,2048,1405,94658,194,7504,18438,2525,3838
40,1,4001,"福岡1区",250153,34906,66061,34106,1414,78750,1131,7815,45705,4405,7460
40,2,4002,"福岡2区",251385,32284,59630,56557,1102,62814,1857,9565,54866,4455,7470
40,3,4003,"福岡3区",249806,16385,71871,32212,1493,95632,712,10951,45858,4884,7535
40,4,4004,"福岡4区",222066,12823,45115,16941,1975,131602,348,7556,19573,3966,5999
40,5,4005,"福岡5区",240707,15082,62537,19553,1927,121711,365,9529,32779,4538,8367
40,6,4006,"福岡6区",205736,13503,26438,8769,1969,134267,342,5040,24955,2806,5193
40,7,4007,"福岡7区",145882,6648,10522,3231,1628,107862,143,4191,14346,2063,4358
40,8,4008,"福岡8区",176081,10309,16055,5903,1751,133036,258,2767,9813,2790,3965
40,9,4009,"福岡9区",200103,19333,24197,21642,1444,122190,541,3964,13276,3391,5497
40,10,4010,"福岡10区",212293,23287,27629,27250,1472,112849,769,4208,18732,5847,7071
40,11,4011,"福岡11区",129605,7058,10512,1537,1349,99780,136,1737,8674,1735,2928
41,1,4101,"佐賀1区",195445,9612,13164,5170,1490,139070,237,3613,28447,2405,4654
41,2,4102,"佐賀2区",190312,9932,9105,3160,3013,152964,487,1912,11567,2706,3130
42,1,4201,"長崎1区",190130,26544,15236,47281,2794,82661,870,15167,3206,3966,5240
