"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
13,3,1303,"東京3区",198968,23079,127845,11310,1515,15586,1642,3570,23692,2034,7551
13,4,1304,"東京4区",233082,18999,138432,18696,2871,12448,1890,4951,54851,2362,11038
13,5,1305,"東京5区",179525,14960,120386,21247,934,12637,1866,2387,25155,1727,7004
13,6,1306,"東京6区",197877,13250,133991,17623,1171,12916,1121,3035,39089,1903,7412
13,7,1307,"東京7区",168608,27194,103447,15553,845,10139,5825,1418,16382,1958,7711
13,8,1308,"東京8区",192533,12487,139945,20924,1098,9381,918,1821,31409,1564,6160
13,9,1309,"東京9区",151613,8640,92018,21041,907,14118,405,3181,41059,1892,5194
13,10,1310,"東京10区",218651,26638,151239,12867,1043,8514,1807,1649,25857,1766,7907
13,11,1311,"東京11区",192610,15899,123571,13056,1266,11916,536,3732,35835,2002,7823
13,12,1312,"東京12区",187467,15126,125019,14089,1217,9228,450,2822,30835,1791,8117
13,13,1313,"東京13区",182414,11010,105890,13202,1174,18068,421,4382,45851,2503,7757
13,14,1314,"東京14区",208982,16706,130875,17983,1211,12619,834,3767,43794,2358,7876
13,15,1315,"東京15区",228888,19412,140525,29179,1419,11929,1675,3992,41194,2250,9758
13,16,1316,"東京16区",214885,12852,119820,28796,1551,22212,448,5564,56120,3244,9313
13,17,1317,"東京17区",192055,11715,114491,14148,1391,16495,352,3870,50323,2469,7313
13,18,1318,"東京18区",206036,13796,130543,29464,1551,14504,483,2772,51585,1861,6655
13,19,1319,"東京19区",171436,12826,100582,20194,1792,17882,315,2628,45666,1735,5750
13,20,1320,"東京20区",208598,12537,97727,24231,2138,43668,234,6526,59060,2968,6835
13,21,1321,"東京21区",211858,19137,111588,28399,3310,36545,317,5551,42879,2737,6555
13,22,1322,"東京22区",221259,15598,135242,37629,1492,17272,600,4232,56249,2264,7136
13,23,1323,"東京23区",187227,15415,96114,37544,2963,41941,369,8521,26481,2420,6177
13,24,1324,"東京24区",195896,18173,82322,35730,5791,53461,321,7191,30070,2649,5779
13,25,1325,"東京25区",216330,16911,76024,12629,3018,81424,193,6076,42284,2977,7025
13,26,1326,"東京26区",212475,18071,146144,19291,1272,13115,2084,3059,27293,1960,8018
