"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
28,7,2807,"兵庫7区",120161,60352,7894,52458,56529,0,29806,25682,1041,3280
28,8,2808,"兵庫8区",93067,50104,5214,44890,39700,0,15195,23608,897,3263
28,9,2809,"兵庫9区",94144,58566,9471,49095,32886,0,29600,2609,677,2692
28,10,2810,"兵庫10区",90177,46784,4723,42061,40872,0,38329,1836,707,2521
28,11,2811,"兵庫11区",112336,92455,6734,85721,18575,0,16500,1709,366,1306
28,12,2812,"兵庫12区",77061,47160,5918,41242,28797,0,27341,1061,395,1104
29,1,2901,"奈良1区",102415,57096,7019,50077,43072,0,14745,27546,781,2247
29,2,2902,"奈良2区",101046,39957,7885,32072,58647,0,38633,18897,1117,2442
29,3,2903,"奈良3区",90454,42777,8727,34050,45369,0,33199,11269,901,2308
30,1,3001,"和歌山1区",106156,82558,9656,72902,20486,0,14761,5275,450,3112
30,2,3002,"和歌山2区",109335,73089,18487,54602,34532,0,28767,5146,619,1714
31,1,3101,"鳥取1区",69245,57921,6500,51421,9625,0,8885,488,252,1699
31,2,3102,"鳥取2区",69420,48299,7255,41044,19921,0,17629,1947,345,1200
32,1,3201,"島根1区",77257,66951,6923,60028,9049,0,6351,2486,212,1257
32,2,3202,"島根2区",89642,79436,8728,70708,8298,0,7475,639,184,1908
33,1,3301,"岡山1区",97555,71945,8056,63889,24064,6612,16062,1075,315,1546
33,2,3302,"岡山2区",117819,65170,8910,56260,50034,31256,17533,714,531,2615
33,3,3303,"岡山3区",116810,79343,13148,66195,34951,0,30135,4217,599,2516
33,4,3304,"岡山4区",108834,84400,7523,76877,20824,0,19397,967,460,3610
34,1,3401,"広島1区",119570,64041,7261,56780,52299,32562,18494,475,768,3230
34,2,3402,"広島2区",112793,59537,7201,52336,50127,30760,16920,1632,815,3129
34,3,3403,"広島3区",120746,70350,8482,61868,47166,36131,9961,335,739,3230
34,4,3404,"広島4区",110698,88549,8706,79843,19495,0,18807,248,440,2654
34,5,3405,"広島5区",86144,69278,10167,59111,15227,0,14337,625,265,1639
34,6,3406,"広島6区",105126,90241,7686,82555,11011,0,6379,4250,382,3874
35,1,3501,"山口1区",111966,94171,7699,86472,16399,0,15548,596,255,1396
35,2,3502,"山口2区",98203,71777,7869,63908,24769,0,21508,2954,307,1657
35,3,3503,"山口3区",100376,86224,8802,77422,12388,0,9300,2869,219,1764
36,1,3601,"徳島1区",98268,74217,11106,63111,21601,0,20519,610,472,2450
36,2,3602,"徳島2区",69944,38329,9178,29151,30313,0,28916,944,453,1302
37,1,3701,"香川1区",86002,76230,6552,69678,7658,0,6614,841,203,2114
37,2,3702,"香川2区",70166,43241,6467,36774,25667,0,24425,862,380,1258
37,3,3703,"香川3区",66097,39148,7073,32075,25482,0,24212,892,378,1467
38,1,3801,"愛媛1区",112427,100403,8307,92096,8479,0,7939,300,240,3545
38,2,3802,"愛媛2区",103546,91990,10483,81507,9553,0,8174,1142,237,2003
38,3,3803,"愛媛3区",87510,64648,14021,50627,21476,0,20713,345,418,1386
39,1,3901,"高知1区",86600,64268,9713,54555,20153,0,19333,400,420,2179
39,2,3902,"高知2区",74619,57074,9301,47773,15766,0,15095,369,302,1779
40,1,4001,"福岡1区",126490,75483,6912,68571,47259,31460,14257,717,825,3748
40,2,4002,"福岡2区",136385,68404,9278,59126,64540,55351,7470,875,844,3441
40,3,4003,"福岡3区",128396,66641,9679,56962,58140,42741,13500,900,999,3615
40,4,4004,"福岡4区",110229,48995,6994,42001,58572,1404,55829,364,975,2662
40,5,4005,"福岡5区",122703,50137,9217,40920,68473,1772,62666,2721,1314,4093
40,6,4006,"福岡6区",109504,69625,10678,58947,37629,0,28994,7861,774,2250
40,7,4007,"福岡7区",80842,50738,10048,40690,28171,0,24206,3428,537,1933
40,8,4008,"福岡8区",88029,46669,5988,40681,39716,0,38935,193,588,1644
40,9,4009,"福岡9区",97941,57167,5898,51269,38418,27130,10358,438,492,2356
40,10,4010,"福岡10区",106602,69924,6139,63785,32900,26942,4123,1336,499,3778
40,11,4011,"福岡11区",64756,32955,4634,28321,30641,0,27733,2479,429,1160
41,1,4101,"佐賀1区",102134,70973,8280,62693,28948,0,18261,10121,566,2213
41,2,4102,"佐賀2区",105927,71628,13434,58194,32996,0,28384,3983,629,1303
42,1,4201,"長崎1区",98630,88938,5905,83033,7453,0,6949,306,198,2239
42,2,4202,"長崎2区",118951,89267,14071,75196,27800,0,26847,561,392,1884
42,3,4203,"長崎3区",100390,84809,9757,75052,14195,0,11773,2120,302,1386
43,1,4301,"熊本1区",127500,76693,8897,67796,46684,30627,14527,770,760,4123
43,2,4302,"熊本2区",91962,50862,9833,41029,38822,18226,15005,5070,521,2278
43,3,4303,"熊本3区",93883,53586,12548,41038,39586,0,38676,568,342,711
43,4,4304,"熊本4区",113575,85998,16439,69559,26658,0,25541,798,319,919
44,1,4401,"大分1区",110035,100235,6082,94153,7963,0,7363,390,210,1837
44,2,4402,"大分2区",71481,59797,9951,49846,11167,0,9984,1019,164,517
44,3,4403,"大分3区",82304,63543,7885,55658,17326,0,14768,2274,284,1435
45,1,4501,"宮崎1区",102778,93189,9140,84049,7570,0,7156,234,180,2019
45,2,4502,"宮崎2区",78725,60923,10321,50602,16947,0,16425,326,196,855
45,3,4503,"宮崎3区",78437,65211,9513,55698,12491,0,10509,1833,149,735
46,1,4601,"鹿児島1区",105030,97508,6250,91258,5123,0,4716,223,184,2399
46,2,4602,"鹿児島2区",97053,85632,10248,75384,10181,0,9894,122,165,1240
46,3,4603,"鹿児島3区",90904,71467,9153,62314,18734,0,17754,799,181,703
46,4,4604,"鹿児島4区",90666,73533,11669,61864,15859,0,13362,2322,175,1274
47,1,4701,"沖縄1区",67987,51490,3859,47631,14205,0,13756,141,308,2292
47,2,4702,"沖縄2区",74544,31305,3486,27819,40309,0,39216,140,953,2930
47,3,4703,"沖縄3区",74718,45740,4553,41187,25762,0,24848,115,799,3216
47,4,4704,"沖縄4区",79046,44345,6102,38243,32808,0,32161,131,516,1893
