"ken","kuno","kucode","kuname","人口_総数","人口_出生時から","人口_1年未満","人口_1年以上5年未満","人口_5年以上10年未満","人口_10年以上20年未満","人口_20年以上","人口_居住期間「不詳」"
40,1,4001,"福岡1区",541619,31276,43545,114130,72387,79177,92379,108725
40,2,4002,"福岡2区",558742,29266,39795,114302,79970,86180,101205,108024
40,3,4003,"福岡3区",548397,42664,37319,105978,77666,91099,132784,60887
40,4,4004,"福岡4区",489902,44399,28382,84682,68524,80984,141339,41592
40,5,4005,"福岡5区",551051,47564,31228,93210,76743,92637,153189,56480
40,6,4006,"福岡6区",452986,57227,26828,73216,56224,68864,135535,35092
40,7,4007,"福岡7区",341021,50607,17262,47266,36903,48778,121215,18990
40,8,4008,"福岡8区",411207,43382,21203,60512,47819,62108,149231,26952
40,9,4009,"福岡9区",452752,33947,24818,72691,58984,78067,142740,41505
40,10,4010,"福岡10区",486277,34044,28598,82638,62215,75937,137375,65470
40,11,4011,"福岡11区",301260,38050,15547,45175,35913,44559,109209,12807
41,1,4101,"佐賀1区",406889,49300,24199,69754,50910,61214,122983,28529
41,2,4102,"佐賀2区",404553,75961,20037,55917,42944,56623,143954,9117
42,1,4201,"長崎1区",409118,34790,24499,67195,52095,70415,133812,26312
42,2,4202,"長崎2区",479582,69154,28357,75965,56930,73184,164073,11919
42,3,4203,"長崎3区",423617,53460,25120,69594,49237,62200,150710,13296
43,1,4301,"熊本1区",516859,37141,36347,104025,70130,82772,128445,57999
43,2,4302,"熊本2区",375868,46476,22134,60658,46503,56670,119719,23708
43,3,4303,"熊本3区",376435,57129,23208,59467,45834,54645,120847,15305
43,4,4304,"熊本4区",469139,72264,27606,63795,48961,62524,178191,15798
44,1,4401,"大分1区",463837,38065,30310,86199,65335,78698,133188,32042
44,2,4402,"大分2区",303269,47046,15013,39787,31489,41566,119834,8534
44,3,4403,"大分3区",356746,41439,20137,53769,41038,52809,118850,28704
45,1,4501,"宮崎1区",426671,34851,26464,74018,54550,66899,121271,48618
45,2,4502,"宮崎2区",319057,40742,18091,50184,37695,45842,115208,11295
45,3,4503,"宮崎3区",323848,36522,18960,52659,39146,45692,116515,14354
46,1,4601,"鹿児島1区",424890,27772,29343,83168,58942,70112,114459,41094
46,2,4602,"鹿児島2区",398675,35451,26574,73561,53165,62026,131457,16441
46,3,4603,"鹿児島3区",378178,41012,23247,64670,47828,58754,134927,7740
46,4,4604,"鹿児島4区",386513,38413,24503,66527,48123,56357,134619,17971
47,1,4701,"沖縄1区",329331,25378,19804,57305,42828,46656,69157,68203
47,2,4702,"沖縄2区",373853,34613,19489,58172,43708,47699,82691,87481
47,3,4703,"沖縄3区",396314,39296,23368,64864,46405,50149,90354,81878
47,4,4704,"沖縄4区",367982,41604,24009,66421,48944,50287,85664,51053
