"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
23,15,2315,"愛知15区",214982,166260,38956,36223,24615,0,0,6264,5344,2733,199,9567
23,16,2316,"愛知16区",241084,180166,40356,37995,15777,0,0,14760,7458,2361,88,20474
24,1,2401,"三重1区",223785,171797,37999,36367,21455,0,0,8122,6790,1632,64,13925
24,2,2402,"三重2区",251775,191693,37952,35688,20344,0,0,7742,7602,2264,86,22044
24,3,2403,"三重3区",250934,190076,37580,35743,17446,0,0,9268,9029,1837,94,23184
24,4,2404,"三重4区",179285,148272,26297,25256,14210,0,0,7000,4046,1041,76,4640
25,1,2501,"滋賀1区",202012,148102,32107,31378,15741,0,0,4054,11583,729,79,21724
25,2,2502,"滋賀2区",269800,217197,38610,36564,17948,0,0,10361,8255,2046,66,13927
25,3,2503,"滋賀3区",244369,180256,40661,38706,15145,0,0,12150,11411,1955,74,23378
26,1,2601,"京都1区",262696,153756,50360,48374,26113,13435,12678,2823,19438,1986,87,58493
26,2,2602,"京都2区",178189,107580,32099,30595,16877,11212,5665,1269,12449,1504,80,38430
26,3,2603,"京都3区",224559,150260,38147,37097,19132,10576,3773,7622,10343,1050,145,36007
26,4,2604,"京都4区",253349,169454,37773,36999,21797,11614,6060,4852,10350,774,104,46018
26,5,2605,"京都5区",142355,112198,22172,21531,12676,0,0,4096,4759,641,47,7938
26,6,2606,"京都6区",285471,216778,40625,38974,15237,0,0,10572,13165,1651,159,27909
27,1,2701,"大阪1区",278612,128647,59538,57025,29322,16224,13098,9556,18147,2513,129,90298
27,2,2702,"大阪2区",296107,173556,49231,47842,32825,21827,10998,6998,8019,1389,167,73153
27,3,2703,"大阪3区",221054,132292,35246,34172,24127,17087,7040,4478,5567,1074,144,53372
27,4,2704,"大阪4区",258230,139304,52658,51440,27670,15909,11761,8220,15550,1218,156,66112
27,5,2705,"大阪5区",265015,149292,49609,48065,26109,19506,6603,6893,15063,1544,107,66007
27,6,2706,"大阪6区",241403,157203,40591,39811,21356,7147,3805,10973,7482,780,132,43477
27,7,2707,"大阪7区",244552,157863,52614,51304,18854,0,0,13746,18704,1310,83,33992
27,8,2708,"大阪8区",267628,176306,56676,54985,23656,0,0,13201,18128,1691,137,34509
27,9,2709,"大阪9区",235269,160735,44841,43594,18003,0,0,12757,12834,1247,120,29573
27,10,2710,"大阪10区",200940,143857,34180,33540,17636,0,0,6932,8972,640,80,22823
27,11,2711,"大阪11区",248326,175585,37796,37183,18613,0,0,9127,9443,613,90,34855
27,12,2712,"大阪12区",208787,149877,30566,30022,15380,0,0,9605,5037,544,122,28222
27,13,2713,"大阪13区",253652,161137,34480,33673,19353,0,0,7694,6626,807,103,57932
27,14,2714,"大阪14区",266043,192483,40883,40020,20664,0,0,12613,6743,863,171,32506
27,15,2715,"大阪15区",241052,180662,32916,32397,15225,836,444,12066,5106,519,119,27355
27,16,2716,"大阪16区",204412,138865,37350,36540,20620,14975,5645,8797,7123,810,128,28069
27,17,2717,"大阪17区",208292,149374,30925,30478,20212,15140,5072,6214,4052,447,102,27891
27,18,2718,"大阪18区",273067,192829,39546,38891,19815,0,0,13972,5104,655,123,40569
27,19,2719,"大阪19区",189288,144190,28603,27908,13108,0,0,9763,5037,695,91,16404
28,1,2801,"兵庫1区",266622,157431,56748,54653,30252,19451,10801,7547,16854,2095,144,52299
28,2,2802,"兵庫2区",239940,168677,39762,38855,25580,16441,8021,5979,7296,907,111,31390
28,3,2803,"兵庫3区",200697,139583,33260,32790,21956,14588,7368,4244,6590,470,120,27734
28,4,2804,"兵庫4区",259742,200549,37497,35533,19136,7371,3233,10313,6084,1964,80,21616
28,5,2805,"兵庫5区",234151,189400,31308,29999,14997,0,0,8067,6935,1309,63,13380
28,6,2806,"兵庫6区",279826,195808,44969,44218,18742,0,0,11450,14026,751,64,38985
28,7,2807,"兵庫7区",288855,194524,60006,58443,26425,0,0,12773,19245,1563,115,34210
28,8,2808,"兵庫8区",237300,150957,41015,40534,21897,0,0,7639,10998,481,101,45227
28,9,2809,"兵庫9区",223574,160926,36693,36095,18416,0,0,11523,6156,598,100,25855
28,10,2810,"兵庫10区",211513,166181,30345,29771,15325,0,0,10583,3863,574,74,14913
