"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
33,3,3303,"岡山3区",57131,29683,27592,26170,92,2091,164,27284,0,0,26170,27284
33,4,3304,"岡山4区",44169,24249,23278,22661,34,971,129,19791,0,0,22661,19791
34,1,3401,"広島1区",54662,23246,22409,21731,29,837,178,31238,0,0,21731,31238
34,2,3402,"広島2区",50090,26061,25101,24392,33,960,149,23880,0,0,24392,23880
34,3,3403,"広島3区",54135,29451,28357,27608,35,1094,130,24554,0,0,27608,24554
34,4,3404,"広島4区",62964,31550,30190,29251,47,1360,162,31252,0,0,29251,31252
34,5,3405,"広島5区",51228,25950,24242,23059,61,1708,121,25157,0,0,23059,25157
34,6,3406,"広島6区",45152,23734,22513,21854,39,1221,183,21235,0,0,21854,21235
35,1,3501,"山口1区",55964,27901,26538,25663,20,1363,176,27887,0,0,25663,27887
35,2,3502,"山口2区",66074,32341,30920,29974,33,1421,186,33547,0,0,29974,33547
35,3,3503,"山口3区",62939,29954,28279,27101,47,1675,212,32773,0,0,27101,32773
36,1,3601,"徳島1区",48712,23809,22525,21630,78,1284,150,24753,0,0,21630,24753
36,2,3602,"徳島2区",35315,17634,16509,15758,49,1125,93,17588,0,1,15758,17588
37,1,3701,"香川1区",41120,19864,19052,18439,38,812,126,21130,0,0,18439,21130
37,2,3702,"香川2区",36180,19350,18290,17659,39,1060,94,16736,0,0,17659,16736
37,3,3703,"香川3区",31623,16102,15129,14552,27,973,86,15435,0,0,14552,15435
38,1,3801,"愛媛1区",56745,26238,25076,24300,43,1162,221,30286,0,0,24300,30286
38,2,3802,"愛媛2区",61959,30421,28939,27806,53,1482,169,31369,0,0,27806,31369
38,3,3803,"愛媛3区",54728,26415,24711,23533,63,1704,155,28158,0,0,23533,28158
39,1,3901,"高知1区",49056,20781,19708,18593,48,1073,222,28053,0,0,18593,28053
39,2,3902,"高知2区",50152,22066,20861,19718,60,1205,181,27905,0,0,19718,27905
40,1,4001,"福岡1区",44230,17545,16760,16178,24,785,237,26448,0,0,16178,26448
40,2,4002,"福岡2区",50811,20482,19612,19008,19,870,229,30100,0,1,19008,30100
40,3,4003,"福岡3区",49967,24240,23217,22524,35,1023,164,25563,0,0,22524,25563
40,4,4004,"福岡4区",44126,23778,22712,22042,28,1066,166,20182,0,0,22042,20182
40,5,4005,"福岡5区",50693,26493,25428,24744,32,1065,159,24041,0,0,24744,24041
40,6,4006,"福岡6区",41682,21032,19859,19232,23,1173,122,20528,0,0,19232,20528
40,7,4007,"福岡7区",38986,18993,17662,16924,34,1331,86,19907,0,0,16924,19907
40,8,4008,"福岡8区",55528,25257,23782,22733,34,1475,215,30056,0,1,22733,30056
40,9,4009,"福岡9区",58623,26822,25626,24711,36,1196,191,31610,0,0,24711,31610
40,10,4010,"福岡10区",60967,26855,25610,24758,43,1245,364,33748,0,0,24758,33748
40,11,4011,"福岡11区",40577,18400,17499,16880,25,901,137,22040,0,0,16880,22040
41,1,4101,"佐賀1区",35847,18220,17238,16735,31,982,113,17514,0,0,16735,17514
41,2,4102,"佐賀2区",37988,18722,17354,16459,43,1368,134,19132,0,0,16459,19132
42,1,4201,"長崎1区",53716,24659,23455,22576,36,1204,176,28881,0,0,22576,28881
42,2,4202,"長崎2区",51776,26532,25120,24315,47,1412,126,25118,0,0,24315,25118
42,3,4203,"長崎3区",55927,25880,24395,23297,47,1485,175,29872,0,0,23297,29872
43,1,4301,"熊本1区",50234,23414,22266,21527,35,1148,203,26617,0,1,21527,26617
43,2,4302,"熊本2区",39087,20061,18786,17985,45,1275,123,18903,0,0,17985,18903
43,3,4303,"熊本3区",38263,20581,19127,18204,74,1454,120,17562,0,0,18204,17562
43,4,4304,"熊本4区",58737,29232,27058,25655,93,2174,177,29328,0,0,25655,29328
44,1,4401,"大分1区",46140,24074,23195,22603,31,879,170,21896,0,0,22603,21896
44,2,4402,"大分2区",44772,22509,20886,19853,68,1623,142,22121,0,0,19853,22121
44,3,4403,"大分3区",48730,22776,21577,20729,54,1199,246,25708,0,1,20729,25708
45,1,4501,"宮崎1区",48706,23954,23076,22352,29,878,176,24576,0,0,22352,24576
