"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
14,9,1409,"神奈川9区",27512,9014,4642,4683,1078,7764,331,0,9781,1810,3203,219,4549,0
14,10,1410,"神奈川10区",22202,9022,4478,4217,1087,3245,151,2,10348,1926,3634,72,4715,1
14,11,1411,"神奈川11区",25539,9238,5072,5413,1619,4091,104,2,8195,1984,1809,859,3543,0
14,12,1412,"神奈川12区",33924,12835,6389,6694,1381,6390,230,5,12667,3098,3698,142,5729,0
14,13,1413,"神奈川13区",28782,10965,5602,5945,1524,4611,135,0,10901,2364,2640,302,5595,0
14,14,1414,"神奈川14区",31980,11516,6119,6085,1785,6271,197,7,10956,1771,2785,1431,4969,0
14,15,1415,"神奈川15区",35498,13201,6970,7195,1642,6334,154,2,12480,2481,3362,659,5978,0
14,16,1416,"神奈川16区",30387,11169,5897,6120,1617,5434,146,4,11010,2213,2883,815,5098,1
14,17,1417,"神奈川17区",32384,11788,6452,6803,2002,5185,143,11,10255,1704,3364,698,4489,0
14,18,1418,"神奈川18区",31403,11831,5603,5427,1146,7026,366,4,14448,2385,5405,161,6497,0
14,19,1419,"神奈川19区",34830,13018,6461,6607,1106,7334,298,6,12568,2839,3848,382,5499,0
14,20,1420,"神奈川20区",26208,9282,4716,4722,1280,5965,238,5,9347,1851,2531,515,4450,0
15,1,1501,"新潟1区",26309,9951,5143,5202,2311,3481,216,5,9729,732,3771,2218,3008,0
15,2,1502,"新潟2区",29462,11272,5879,6251,1804,3970,260,26,10291,636,4908,1812,2935,0
15,3,1503,"新潟3区",26566,10360,5366,6041,1670,2877,56,196,9242,550,4223,1902,2567,0
15,4,1504,"新潟4区",25006,10165,5512,5661,1657,1891,118,2,9399,704,3751,1902,3042,0
15,5,1505,"新潟5区",22965,9597,5239,5546,859,1472,248,4,8701,571,4415,1165,2550,0
16,1,1601,"富山1区",19499,7307,3920,4009,1094,2936,229,4,7543,625,2331,2155,2432,0
16,2,1602,"富山2区",16416,6650,3633,3954,1078,1051,48,2,6021,181,2927,1335,1578,0
16,3,1603,"富山3区",23850,9402,5200,5457,1643,2038,102,8,8761,493,3993,1945,2330,0
17,1,1701,"石川1区",32116,11432,5803,6030,1798,6592,457,4,11305,1338,3004,3103,3860,0
17,2,1702,"石川2区",26366,10560,5636,5547,1226,3151,242,4,10165,643,3303,3531,2688,0
17,3,1703,"石川3区",15737,5982,3437,3902,921,1433,54,8,5367,253,2217,1586,1311,0
18,1,1801,"福井1区",28359,11377,6086,6233,1037,3448,176,2,10730,631,3280,3825,2994,0
18,2,1802,"福井2区",19481,8169,4366,4535,847,1495,68,1,7769,358,3528,1416,2467,0
19,1,1901,"山梨1区",31476,11924,6501,6889,1676,4290,194,2,11728,1072,4414,1894,4348,0
19,2,1902,"山梨2区",19638,6763,3701,3984,1060,4077,53,0,6475,593,2856,702,2324,0
20,1,2001,"長野1区",29876,12067,6576,6884,1564,2663,114,8,11215,1530,4734,1027,3924,0
20,2,2002,"長野2区",27121,10741,5831,6069,1308,3053,116,3,10259,889,3609,1491,4270,0
20,3,2003,"長野3区",28677,11614,6232,6599,1564,2554,112,2,10689,1320,4852,387,4130,0
20,4,2004,"長野4区",16860,6942,3741,4037,1008,1085,46,1,6466,296,3445,171,2554,0
20,5,2005,"長野5区",20558,8708,4772,4797,974,1218,88,1,8014,298,4571,254,2891,0
21,1,2101,"岐阜1区",26225,9419,4911,5206,1509,4847,327,6,9023,2561,2353,713,3393,3
21,2,2102,"岐阜2区",24142,9182,5091,5434,1339,3023,71,2,7805,884,2402,1633,2886,0
21,3,2103,"岐阜3区",34169,13227,7038,7373,1772,4636,120,3,12411,2519,3835,925,5132,0
21,4,2104,"岐阜4区",24232,10394,5373,5593,975,1853,44,0,9425,1307,3510,833,3775,0
21,5,2105,"岐阜5区",19608,7719,4298,4437,933,2183,37,1,6991,1269,2133,712,2877,0
22,1,2201,"静岡1区",28600,10824,5548,5970,1483,4525,222,28,10731,1969,2403,2423,3936,0
22,2,2202,"静岡2区",27597,11883,6190,6131,1123,2223,46,1,10489,2167,3618,1132,3572,0
22,3,2203,"静岡3区",29030,12798,6571,6396,1227,1999,38,1,12271,2331,3561,1839,4540,0
22,4,2204,"静岡4区",22259,8815,4748,4981,1087,2546,78,4,7593,1253,1846,1841,2653,0
22,5,2205,"静岡5区",33843,13810,7442,7547,1619,3336,85,4,12826,2422,4154,1255,4995,0
22,6,2206,"静岡6区",26384,10586,5846,6214,1373,2283,78,4,9161,1634,2593,1197,3737,0
22,7,2207,"静岡7区",24473,10465,5424,5501,1037,1988,58,0,9293,2390,2486,1366,3051,0
22,8,2208,"静岡8区",28683,11570,6147,6075,1305,3392,192,2,11640,2892,2935,1722,4091,0
23,1,2301,"愛知1区",25408,9476,4558,4675,1499,4882,275,43,11021,1897,3275,601,5248,0
23,2,2302,"愛知2区",35900,13496,6517,6345,1244,7700,594,4,13902,3160,3971,700,6071,0
23,3,2303,"愛知3区",37030,13759,6803,6893,1267,7603,702,3,15108,3026,4769,655,6658,0
23,4,2304,"愛知4区",25766,9626,5097,5121,1260,4434,222,6,10451,1709,3233,907,4602,0
23,5,2305,"愛知5区",23945,9188,4674,4657,1409,3864,141,12,10305,1642,3302,587,4774,0
23,6,2306,"愛知6区",30280,11622,6024,6277,1336,4877,137,7,11221,2410,3628,274,4909,0
23,7,2307,"愛知7区",33866,13013,6427,6324,1222,6661,219,0,13197,2757,4637,423,5380,0
23,8,2308,"愛知8区",36648,14802,7331,7635,1595,5173,111,1,14004,1798,5492,779,5934,1
23,9,2309,"愛知9区",31312,11835,6362,6584,1639,4770,110,12,11031,1736,3953,911,4430,1
23,10,2310,"愛知10区",29060,11151,5884,6143,1360,4414,102,6,10739,1747,3746,210,5035,1
23,11,2311,"愛知11区",33591,13208,6838,7154,1603,4675,108,5,13035,2156,1977,2818,6081,3
23,12,2312,"愛知12区",38157,15969,7840,7904,1781,4517,136,10,15414,2881,5614,289,6629,1
23,13,2313,"愛知13区",36566,14637,7489,7597,1576,5103,154,10,15635,2717,4820,830,7268,0
23,14,2314,"愛知14区",23171,9730,4882,4980,1179,2345,50,5,9253,1105,3637,710,3800,1
23,15,2315,"愛知15区",27866,11615,5798,6130,1542,2662,112,7,11123,1285,3697,1808,4333,0
23,16,2316,"愛知16区",32938,12847,6724,6756,1602,4876,120,13,12082,2445,4103,338,5195,1
24,1,2401,"三重1区",27750,10849,5727,5917,1476,3561,211,9,10173,1299,3756,1033,4084,1
24,2,2402,"三重2区",30698,12258,6490,6804,1563,3488,89,6,11325,1819,4481,628,4397,0
24,3,2403,"三重3区",32991,13199,6776,7083,1617,4195,112,9,12620,2358,4229,406,5627,0
24,4,2404,"三重4区",18107,7192,4182,4402,813,1463,46,9,6923,538,3116,877,2392,0
25,1,2501,"滋賀1区",27605,10221,5409,5635,1133,5011,187,9,9973,1505,3147,1148,4172,1
25,2,2502,"滋賀2区",36320,14633,7414,7635,1625,4852,157,4,13783,1798,4016,2591,5378,0
25,3,2503,"滋賀3区",36359,14340,7062,7230,1531,5954,240,2,13899,1910,4020,1956,6013,0
26,1,2601,"京都1区",33668,9619,4904,5127,1143,11899,971,5,10310,1688,3571,424,4627,0
26,2,2602,"京都2区",25603,6884,3442,3729,863,9339,1338,8,6600,993,1962,623,3022,0
26,3,2603,"京都3区",28939,10102,5565,5625,1262,6095,288,2,10397,1657,3563,589,4588,0
26,4,2604,"京都4区",32688,11127,5797,6160,1868,7342,391,3,10851,1793,3682,429,4947,0
26,5,2605,"京都5区",15685,6764,3628,3878,688,708,18,1,6536,756,2202,1303,2275,0
26,6,2606,"京都6区",41145,14704,8128,8278,1676,8009,338,12,13228,2263,3879,1597,5489,0
27,1,2701,"大阪1区",26547,9989,4584,4425,2129,5142,267,11,12944,1709,3546,240,7449,0
27,2,2702,"大阪2区",33490,11858,6078,6752,2078,6504,201,19,12657,1404,3411,861,6981,0
27,3,2703,"大阪3区",23500,8553,4519,4625,1358,4252,185,8,8808,1148,2065,599,4996,0
27,4,2704,"大阪4区",26622,10117,4890,4854,1815,4674,265,7,12640,1678,3532,705,6725,0
27,5,2705,"大阪5区",28840,10281,5096,5485,2489,5202,270,17,11477,1615,2883,530,6446,3
27,6,2706,"大阪6区",28352,10406,5539,5902,1600,4779,116,10,11073,1443,2543,1643,5444,0
27,7,2707,"大阪7区",34364,12423,5964,6199,1627,7697,452,2,13356,2864,3335,1002,6155,0
27,8,2708,"大阪8区",36571,13608,6602,6722,1180,7807,648,4,14096,2680,2649,2106,6661,0
27,9,2709,"大阪9区",34443,12583,6190,6383,1147,7354,779,7,12196,2426,2887,1480,5403,0
27,10,2710,"大阪10区",26391,9785,5064,5115,1157,5092,174,4,9661,1636,2317,1252,4456,0
27,11,2711,"大阪11区",32488,11508,6125,6496,1496,6653,200,10,10633,2049,3214,937,4433,0
27,12,2712,"大阪12区",26188,9419,5233,5417,1502,4474,109,34,8986,1234,2139,1522,4090,1
27,13,2713,"大阪13区",27908,8687,4895,6343,1576,6210,150,47,10257,1043,1772,1784,5658,0
27,14,2714,"大阪14区",34603,12202,6534,7158,1881,6652,165,11,11610,1405,2867,1984,5354,0
27,15,2715,"大阪15区",30851,10449,5843,6406,1998,6008,137,10,9904,1565,2410,1330,4599,0
27,16,2716,"大阪16区",25171,9364,4869,4948,1423,4301,255,11,10021,1676,1898,1931,4516,0
27,17,2717,"大阪17区",27845,10413,5659,5875,1543,4218,129,8,9593,1642,1399,2195,4357,0
27,18,2718,"大阪18区",37615,13931,7410,8035,2275,5823,134,7,12752,1694,2372,2583,6103,0
27,19,2719,"大阪19区",25247,8934,5055,5522,1671,3968,94,3,8026,1095,1476,1974,3481,0
28,1,2801,"兵庫1区",33218,11069,5530,5634,1227,8790,881,87,11615,2023,2937,1566,5088,1
28,2,2802,"兵庫2区",27535,9910,5379,5712,1179,5049,253,53,9200,1514,2026,1569,4091,0
28,3,2803,"兵庫3区",24479,9245,4482,4694,871,4986,193,8,8876,1580,1827,1599,3870,0
28,4,2804,"兵庫4区",33553,12535,6718,7063,1331,5688,212,6,10749,1051,2272,3299,4127,0
28,5,2805,"兵庫5区",28976,11642,6111,6400,1318,3367,137,1,10085,1118,1780,3368,3819,0
28,6,2806,"兵庫6区",37683,14083,7116,7369,1681,7178,252,4,13747,2680,3296,888,6883,0
28,7,2807,"兵庫7区",42021,14688,7506,7729,1212,10458,424,4,14250,3073,3579,794,6804,0
28,8,2808,"兵庫8区",23981,8960,4506,4844,1222,4298,141,10,10282,1674,2670,776,5162,0
28,9,2809,"兵庫9区",26997,10940,5383,5458,1178,3876,156,6,11775,1545,3592,1147,5490,1
28,10,2810,"兵庫10区",28135,11109,5660,5702,1312,4252,92,8,10087,1029,2468,2115,4475,0
28,11,2811,"兵庫11区",33461,13134,6762,7045,1780,4606,132,2,13028,1208,3380,2764,5676,0
28,12,2812,"兵庫12区",20771,8112,4387,4721,1010,2469,70,2,7016,827,1673,1883,2633,0
29,1,2901,"奈良1区",33711,11607,6254,6205,1170,7850,617,8,10366,1715,2669,1604,4378,0
29,2,2902,"奈良2区",32289,11532,6196,7028,1680,5690,159,4,10880,1991,3206,1198,4485,0
29,3,2903,"奈良3区",24326,8929,4969,5104,1407,3786,127,4,8188,1201,2774,679,3534,0
30,1,3001,"和歌山1区",29000,11547,5844,6280,1460,3709,153,7,11181,1616,2995,1723,4847,0
30,2,3002,"和歌山2区",24894,10328,5571,5914,1299,1720,60,2,9208,804,3513,1663,3228,0
31,1,3101,"鳥取1区",17562,6840,3626,3828,934,2198,131,5,6677,480,3320,776,2101,0
31,2,3102,"鳥取2区",16579,7103,3651,3735,870,1141,76,3,6865,594,3072,1215,1982,2
32,1,3201,"島根1区",19012,7781,4066,4079,954,2018,114,0,7418,521,3947,918,2032,0
32,2,3202,"島根2区",20990,8898,4553,4987,880,1583,86,3,8728,647,5249,692,2140,0
33,1,3301,"岡山1区",28693,9806,4855,5306,1849,6293,581,3,9930,1224,3217,1636,3853,0
33,2,3302,"岡山2区",33285,13062,6694,7103,1919,4355,138,14,12822,1400,4517,1741,5164,0
33,3,3303,"岡山3区",29061,11361,6028,6530,1393,3664,77,8,10677,993,4434,1797,3453,0
33,4,3304,"岡山4区",31241,12179,6089,6397,1759,4659,151,7,12353,1993,4606,1060,4694,0
34,1,3401,"広島1区",32184,12545,6191,6197,1655,5241,351,4,13293,2431,4578,1102,5182,0
34,2,3402,"広島2区",30581,12282,6078,6316,1348,4409,141,7,12606,2137,5013,649,4807,0
34,3,3403,"広島3区",38422,14865,7531,7729,1485,6685,121,6,13621,2263,4584,1419,5355,0
34,4,3404,"広島4区",32397,11811,6163,6101,1584,5948,782,8,11181,1501,3565,1880,4235,0
