"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
22,2,2202,"静岡2区",113449,3597,8236,2160,758,90456,86,4504,8242,1942,1668
22,3,2203,"静岡3区",121487,4792,4923,1134,1136,101211,92,4833,6747,1479,1820
22,4,2204,"静岡4区",91415,5395,6892,1816,561,65176,64,5491,8537,1678,2030
22,5,2205,"静岡5区",136077,10919,9727,1894,1201,104068,124,5444,7884,1591,903
22,6,2206,"静岡6区",106786,8391,8664,2463,997,75748,170,5842,7537,2071,1634
22,7,2207,"静岡7区",97077,4402,3935,1434,842,79068,56,4877,5832,1264,816
22,8,2208,"静岡8区",120608,7541,6320,4179,673,88329,164,7260,12054,1729,1009
23,1,2301,"愛知1区",111233,11640,38761,7355,1247,38236,524,2342,20241,2785,3168
23,2,2302,"愛知2区",115589,6538,43155,11084,970,48662,302,3235,13393,3215,2736
23,3,2303,"愛知3区",121716,5083,39259,8718,1310,62008,249,3935,12571,2788,3027
23,4,2304,"愛知4区",104759,6659,28082,6735,1409,50690,211,3001,15056,2432,2618
23,5,2305,"愛知5区",98757,6129,28876,5891,1290,45942,156,2473,15231,2659,2954
23,6,2306,"愛知6区",106257,4559,23091,4073,1110,66212,71,3576,11796,2434,2455
23,7,2307,"愛知7区",110369,4282,23938,3868,1498,70393,100,4119,10513,2360,2182
23,8,2308,"愛知8区",136723,4286,19354,1724,2408,99701,118,4463,9453,2351,3202
23,9,2309,"愛知9区",113629,3603,22972,2663,1297,73924,68,3013,12948,2851,2678
23,10,2310,"愛知10区",97280,2573,21284,3560,956,62905,48,2164,11839,1981,2570
23,11,2311,"愛知11区",133733,6995,10195,2235,3726,101472,83,3086,9367,1463,3770
23,12,2312,"愛知12区",146322,6354,16479,3429,3265,106945,85,4258,11881,2177,3745
23,13,2313,"愛知13区",143589,7578,18659,1599,3770,96929,103,3707,16646,1831,3883
23,14,2314,"愛知14区",93148,4724,8836,717,1558,70340,43,2600,7505,1432,1624
23,15,2315,"愛知15区",108418,4067,7951,2177,3236,82723,84,3121,7880,1598,2836
23,16,2316,"愛知16区",120073,5909,19889,3101,963,77552,78,3259,15835,2386,2874
24,1,2401,"三重1区",101689,4325,8110,1671,1067,78853,83,2092,7004,1709,2706
24,2,2402,"三重2区",121656,4750,9660,1885,1085,95361,80,3716,8139,1537,3450
24,3,2403,"三重3区",126961,5141,14593,4611,1973,93044,214,2737,8412,1965,3988
24,4,2404,"三重4区",73093,3635,3030,486,491,59854,38,1737,3541,1507,2003
25,1,2501,"滋賀1区",86823,5196,27242,5420,821,45053,125,4503,7149,1739,2087
25,2,2502,"滋賀2区",132377,5974,12170,1888,1717,103251,99,2054,9730,1773,3274
25,3,2503,"滋賀3区",119556,5732,21569,4791,1690,76040,95,4676,14424,1872,2875
26,1,2601,"京都1区",92389,10033,25945,12686,874,20607,482,9684,21932,1550,3178
26,2,2602,"京都2区",59843,4595,18348,7187,524,17867,328,6819,11255,1151,2109
26,3,2603,"京都3区",88266,5045,32562,4893,784,29429,162,11343,12780,1672,2413
26,4,2604,"京都4区",95473,4817,25031,8905,691,40820,181,10668,13822,1785,2823
26,5,2605,"京都5区",65189,5500,1075,471,895,50755,28,1495,4360,1140,1764
26,6,2606,"京都6区",118388,5169,37552,8207,1110,55386,140,12671,10837,2076,3086
27,1,2701,"大阪1区",96021,12730,47499,3067,690,12401,607,2264,22033,1538,3907
27,2,2702,"大阪2区",98400,5101,42565,2821,768,22208,206,4682,26596,1854,3876
27,3,2703,"大阪3区",77484,3986,33630,4253,896,17152,129,3315,18786,1590,3824
27,4,2704,"大阪4区",98219,10043,51057,4472,652,13170,518,2883,23219,1550,3463
27,5,2705,"大阪5区",105785,8164,51456,4297,853,18253,225,5501,24373,1874,4297
27,6,2706,"大阪6区",95365,4748,36696,3259,662,23607,150,6462,26168,1989,3882
27,7,2707,"大阪7区",106258,6442,55253,6223,799,23047,257,7795,17915,2141,2966
27,8,2708,"大阪8区",109762,6338,53971,9947,878,26838,321,8610,17034,2238,2875
27,9,2709,"大阪9区",97156,4402,42026,9936,954,28929,196,9357,17732,2013,1949
27,10,2710,"大阪10区",81629,3042,38401,11386,975,21346,155,8713,16140,1395,2201
27,11,2711,"大阪11区",98368,3675,41772,9998,784,31063,105,11948,12878,1791,2483
27,12,2712,"大阪12区",86682,3612,30783,4457,721,26950,94,9789,18665,1741,3020
27,13,2713,"大阪13区",95916,4943,31077,1891,689,26993,110,9497,26173,1885,3686
27,14,2714,"大阪14区",108652,4658,36440,2914,948,37757,97,10399,23838,2100,3197
27,15,2715,"大阪15区",94717,3270,31338,6212,775,42079,115,8929,12670,1882,2745
27,16,2716,"大阪16区",85285,4232,35197,3899,1138,26246,129,4106,16916,1680,2719
27,17,2717,"大阪17区",81979,2608,27699,5539,997,34947,111,6334,12873,1777,2662
27,18,2718,"大阪18区",110168,3993,34687,4559,1278,49967,122,8136,16769,2256,3297
27,19,2719,"大阪19区",78358,2674,24530,2598,1260,39175,115,5881,9082,1556,2285
28,1,2801,"兵庫1区",100262,9589,55497,7888,1448,20180,467,5726,8903,1777,2829
28,2,2802,"兵庫2区",95537,6183,38218,10379,1075,36058,218,7030,6907,1903,3111
28,3,2803,"兵庫3区",75324,2556,38583,13276,1038,25059,152,6418,3376,1390,1957
28,4,2804,"兵庫4区",113638,4412,21607,8478,981,74584,103,5603,6686,1679,2796
28,5,2805,"兵庫5区",100670,4299,19404,8080,841,69168,97,3520,4744,1640,1523
28,6,2806,"兵庫6区",110716,6726,48584,11546,922,30759,216,11184,16902,2138,2911
28,7,2807,"兵庫7区",112751,4447,63229,9266,1170,26487,502,6660,17443,1958,2849
28,8,2808,"兵庫8区",93294,5049,37528,6502,935,22160,122,7362,24263,1878,2798
28,9,2809,"兵庫9区",90991,4470,28812,5380,1216,44798,73,5047,9294,1595,2656
28,10,2810,"兵庫10区",97342,3228,21856,2501,1994,53247,60,5723,17090,1523,2566
28,11,2811,"兵庫11区",116873,5672,17401,4365,1385,73717,152,5445,16916,1832,2042
28,12,2812,"兵庫12区",76644,2977,5635,819,465,60784,39,2941,5250,1212,1162
29,1,2901,"奈良1区",96451,3988,44247,12647,810,38419,150,5088,7562,1697,1760
29,2,2902,"奈良2区",97595,3598,32132,4413,837,50398,81,6839,9478,1656,2149
29,3,2903,"奈良3区",86017,3405,20662,1440,703,53342,64,4030,6383,1515,2050
30,1,3001,"和歌山1区",102817,4030,8501,2121,598,67465,104,12263,11077,1873,2977
30,2,3002,"和歌山2区",93971,4309,5998,1199,825,73289,45,5743,4229,1655,1959
31,1,3101,"鳥取1区",62332,3583,1008,915,387,50639,55,777,4799,847,1572
31,2,3102,"鳥取2区",62789,3100,935,412,311,53305,53,732,3878,906,1107
32,1,3201,"島根1区",73065,4204,820,1611,953,58268,165,1569,5565,1182,1490
32,2,3202,"島根2区",85271,5089,934,576,1016,71507,68,1331,3738,1236,1832
33,1,3301,"岡山1区",91559,6082,5728,2603,494,59722,161,3867,16310,1688,1726
33,2,3302,"岡山2区",112838,3491,5478,2782,821,83528,139,5758,13439,2188,2720
33,3,3303,"岡山3区",108576,4974,2959,496,537,91219,73,2658,5322,1424,2800
33,4,3304,"岡山4区",108386,3290,6004,1078,611,85990,114,3875,9628,1543,3169
34,1,3401,"広島1区",119451,15948,15584,12688,1861,43260,594,11044,25632,3085,3266
34,2,3402,"広島2区",111983,5959,20253,8509,1125,57584,254,10137,15456,3410,2818
34,3,3403,"広島3区",122090,6144,20840,8613,1224,70206,202,10478,9881,3824,3298
34,4,3404,"広島4区",119049,12830,10074,5081,1462,74288,216,9007,10234,3239,2886
34,5,3405,"広島5区",83860,5057,2335,1702,1111,61881,66,5727,6244,2152,1830
34,6,3406,"広島6区",107432,4875,3598,1415,1028,81832,128,4603,9983,1874,3543
35,1,3501,"山口1区",110605,5935,2431,991,559,89032,103,3165,10307,1693,1443
35,2,3502,"山口2区",102223,5744,3899,1001,654,77874,110,5082,10540,2022,1825
35,3,3503,"山口3区",93201,6041,4257,2459,581,72429,145,2918,4970,1949,1633
36,1,3601,"徳島1区",88438,4049,1369,886,499,67574,108,4405,10265,1384,2214
36,2,3602,"徳島2区",60633,2113,893,282,408,51974,35,1787,2900,896,1340
37,1,3701,"香川1区",84621,5463,6000,1308,333,53297,123,6091,14365,2087,1880
37,2,3702,"香川2区",65434,2166,3396,287,285,53319,40,2786,4056,935,1367
37,3,3703,"香川3区",63713,3208,1914,168,297,51099,37,2285,5028,858,1551
38,1,3801,"愛媛1区",101324,6015,4961,1984,480,56629,206,15761,17507,2590,2772
38,2,3802,"愛媛2区",105395,5774,864,528,870,77483,95,8935,12066,2278,2237
38,3,3803,"愛媛3区",73297,4806,1765,617,1036,53720,111,5882,5089,1910,1606
39,1,3901,"高知1区",72971,4089,1735,662,373,51528,159,6128,9508,1448,1968
39,2,3902,"高知2区",63656,3208,893,560,478,47978,71,4510,5534,1717,1823
40,1,4001,"福岡1区",118608,14141,28010,11987,663,45785,491,6412,19009,3209,3380
40,2,4002,"福岡2区",112284,11683,24470,20162,540,37525,895,7461,20943,3017,3040
40,3,4003,"福岡3区",115237,5082,34054,12416,710,51380,409,8029,14020,3520,3030
