"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
13,19,1319,"東京19区",168246,49374,16284,33090,114872,0,103350,9603,1919,4000
13,20,1320,"東京20区",206234,65511,17906,47605,135057,0,112027,19617,3413,5666
13,21,1321,"東京21区",204292,72960,16257,56703,126217,0,110767,13296,2154,5115
13,22,1322,"東京22区",223137,70869,24639,46230,146466,0,132824,11034,2608,5802
13,23,1323,"東京23区",182372,69927,16627,53300,107041,0,52743,51999,2299,5404
13,24,1324,"東京24区",189360,107277,16612,90665,77026,0,61609,13600,1817,5057
13,25,1325,"東京25区",214962,84778,17186,67592,123799,0,109867,10988,2944,6385
13,26,1326,"東京26区",223859,77521,30270,47251,139465,117751,2442,17078,2194,6873
13,27,1327,"東京27区",191113,55936,24473,31463,130153,113755,6980,7416,2002,5024
13,28,1328,"東京28区",168578,52898,18304,34594,110593,94889,3917,9828,1959,5087
13,29,1329,"東京29区",183169,67478,20042,47436,108021,89112,1292,14710,2907,7670
13,30,1330,"東京30区",222775,81934,19670,62264,135228,0,113525,19027,2676,5613
14,1,1401,"神奈川1区",224172,84050,17178,66872,133691,64037,23493,43846,2315,6431
14,2,1402,"神奈川2区",229534,67910,18346,49564,155074,81990,21665,49037,2382,6550
14,3,1403,"神奈川3区",250922,80193,20950,59243,163085,53463,32550,74447,2625,7644
14,4,1404,"神奈川4区",164336,56523,17768,38755,104174,16287,51247,34815,1825,3639
14,5,1405,"神奈川5区",196021,64801,15324,49477,126321,54775,27897,41679,1970,4899
14,6,1406,"神奈川6区",196075,60293,14781,45512,130551,67998,20863,39566,2124,5231
14,7,1407,"神奈川7区",167663,53952,16456,37496,110050,33300,14934,60372,1444,3661
14,8,1408,"神奈川8区",222575,68063,20424,47639,149875,48007,23458,76109,2301,4637
14,9,1409,"神奈川9区",179902,50405,17377,33028,125196,20476,18063,84682,1975,4301
14,10,1410,"神奈川10区",190053,75781,15837,59944,106811,16993,24841,62785,2192,7461
14,11,1411,"神奈川11区",191520,117075,14755,102320,70043,0,53399,15091,1553,4402
14,12,1412,"神奈川12区",221229,101200,18243,82957,114351,0,80049,32041,2261,5678
14,13,1413,"神奈川13区",188470,65344,13573,51771,117662,16085,68796,30503,2278,5464
14,14,1414,"神奈川14区",218830,104803,16509,88294,107612,20104,37804,47645,2059,6415
14,15,1415,"神奈川15区",230368,106301,18816,87485,117679,0,87960,27373,2346,6388
14,16,1416,"神奈川16区",210733,103286,16242,87044,102772,0,80867,20244,1661,4675
14,17,1417,"神奈川17区",243340,122291,22533,99758,115779,0,95211,18721,1847,5270
14,18,1418,"神奈川18区",241822,69648,25181,44467,166221,27715,27715,108445,2346,5953
14,19,1419,"神奈川19区",204996,67365,19325,48040,132645,35875,23132,71448,2190,4986
14,20,1420,"神奈川20区",180493,61919,13491,48428,113497,6844,62003,42504,2146,5077
15,1,1501,"新潟1区",207680,134916,19020,115896,69198,56833,10990,739,636,3566
15,2,1502,"新潟2区",237536,140814,27381,113433,92604,40365,50349,714,1176,4118
15,3,1503,"新潟3区",219560,132334,24578,107756,83744,23745,57741,1025,1233,3482
15,4,1504,"新潟4区",208982,167788,20695,147093,39704,0,38636,643,425,1490
15,5,1505,"新潟5区",210652,181080,26599,154481,26992,0,24690,1794,508,2580
16,1,1601,"富山1区",162309,138751,12754,125997,19625,0,17602,1603,420,3933
16,2,1602,"富山2区",147834,93736,13396,80340,51847,0,50142,1076,629,2251
16,3,1603,"富山3区",218818,130972,20611,110361,83838,0,78363,4358,1117,4008
17,1,1701,"石川1区",222028,180143,18453,161690,35834,0,31288,3744,802,6051
17,2,1702,"石川2区",201573,116343,18436,97907,83030,0,79542,2763,725,2200
17,3,1703,"石川3区",136532,83377,16960,66417,51896,0,49263,2178,455,1259
18,1,1801,"福井1区",232963,165146,23162,141984,63697,0,59966,2881,850,4120
18,2,1802,"福井2区",162802,108705,17461,91244,52090,0,49503,2066,521,2007
19,1,1901,"山梨1区",244990,134089,30234,103855,106847,0,100705,4838,1304,4054
19,2,1902,"山梨2区",153588,90937,27263,63674,61081,0,52394,8058,629,1570
20,1,2001,"長野1区",255009,197372,33976,163396,51155,0,48516,1729,910,6482
20,2,2002,"長野2区",226993,160689,32688,128001,61596,0,58902,1649,1045,4708
