"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_管理的職業従事者","就業者数_B_専門的・技術的職業従事者","就業者数_C_事務従事者","就業者数_D_販売従事者","就業者数_E_サービス職業従事者","就業者数_F_保安職業従事者","就業者数_G_農林漁業従事者","就業者数_H_生産工程従事者","就業者数_I_輸送・機械運転従事者","就業者数_J_建設・採掘従事者","就業者数_K_運搬・清掃・包装等従事者","就業者数_L_分類不能の職業"
12,2,1202,"千葉2区",168039,2899,30633,39521,24070,18943,3317,1508,15273,6041,6095,14086,5653
12,3,1203,"千葉3区",178402,2994,29693,35853,20047,21282,3665,2997,24234,7841,9920,12824,7052
12,4,1204,"千葉4区",227543,4379,46844,58500,33855,24468,3509,2102,15052,6676,7727,16940,7491
12,5,1205,"千葉5区",245273,5321,52692,70262,35378,26332,2784,441,13217,6737,6456,17132,8521
12,6,1206,"千葉6区",224960,4089,44392,51987,33094,27524,4467,1602,17604,7043,8655,16724,7779
12,7,1207,"千葉7区",158989,2772,30077,34930,21012,16808,2549,2008,16977,6145,6254,14471,4986
12,8,1208,"千葉8区",188382,3459,38182,42794,27445,21658,4748,2101,14706,5620,6861,15540,5268
12,9,1209,"千葉9区",209363,3876,33827,43154,25977,24951,5523,5055,21564,9476,10878,18498,6584
12,10,1210,"千葉10区",192652,3532,23168,35373,18175,21448,4421,18392,27050,8952,8548,17783,5810
12,11,1211,"千葉11区",189325,3304,24015,33136,19170,25224,4071,13240,26282,8619,10750,16185,5329
12,12,1212,"千葉12区",209627,3296,30248,35453,21027,28083,5891,11492,29281,10522,11471,16149,6714
12,13,1213,"千葉13区",220925,3887,38570,50422,27544,25211,5272,6495,20013,8539,8472,20026,6474
12,14,1214,"千葉14区",224385,3843,44171,58452,29699,25352,5776,1559,16727,7096,7378,17349,6983
13,1,1301,"東京1区",152350,7171,44605,42703,19649,13605,3756,113,4516,1232,1743,5480,7777
13,2,1302,"東京2区",174055,8114,43304,50809,27497,16539,1701,84,7853,1876,2309,6230,7739
