"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
28,1,2801,"兵庫1区",400817,365606,1156,21415,94187,49619,110848,16454,71927,34874,332,5
28,2,2802,"兵庫2区",386183,359543,2273,36783,131899,46688,73064,7108,61728,26028,605,7
28,3,2803,"兵庫3区",312616,290053,1153,23348,100281,38958,68513,7927,49873,22191,367,5
28,4,2804,"兵庫4区",431524,399902,3611,45437,164311,52541,78722,7600,47680,31311,294,17
28,5,2805,"兵庫5区",390773,365230,4455,40849,155362,54809,71855,5717,32183,25035,506,2
28,6,2806,"兵庫6区",454831,419488,1533,29584,128964,64385,107835,11390,75797,34965,375,3
28,7,2807,"兵庫7区",452698,410949,1075,19931,102483,61437,135152,16465,74406,41436,310,3
28,8,2808,"兵庫8区",366429,343392,1912,40229,116566,44135,66373,6495,67682,22554,424,59
28,9,2809,"兵庫9区",369280,345656,3358,41675,131182,42825,64029,6456,56131,23276,345,3
28,10,2810,"兵庫10区",354976,330487,2092,40351,137418,43706,57825,5846,43249,24129,351,9
28,11,2811,"兵庫11区",414135,384967,3163,46624,153112,52347,73320,7751,48650,28808,358,2
28,12,2812,"兵庫12区",288144,269903,3540,42168,127047,35163,41237,3154,17594,17901,340,0
29,1,2901,"奈良1区",403222,369410,1543,21368,115663,57955,110485,11926,50470,33658,151,3
29,2,2902,"奈良2区",391474,359157,2592,31650,135082,56712,83328,6000,43793,32035,279,3
29,3,2903,"奈良3区",357555,333952,3572,42421,137042,47046,63638,3740,36493,23225,376,2
30,1,3001,"和歌山1区",409362,383276,3452,45745,152591,50801,65236,5809,59642,25773,309,4
30,2,3002,"和歌山2区",399842,379095,5285,67480,176386,47273,50638,2654,29379,20504,240,3
31,1,3101,"鳥取1区",239109,222486,2847,26787,100358,29716,35426,3330,24022,16313,309,1
31,2,3102,"鳥取2区",237939,224950,2196,26544,111328,30097,32730,2725,19330,12830,156,3
32,1,3201,"島根1区",269198,251768,3006,38957,107442,32940,38644,3621,27158,17205,225,0
32,2,3202,"島根2区",311339,293982,4553,52625,132281,37461,40613,3142,23307,17004,350,3
33,1,3301,"岡山1区",350005,317895,1933,27890,125069,45857,75273,8498,33375,31961,144,5
33,2,3302,"岡山2区",430719,401768,2212,39341,163401,57181,78062,6628,54943,28728,222,1
33,3,3303,"岡山3区",423894,398456,4102,50478,194715,51069,58483,3721,35888,25052,386,0
33,4,3304,"岡山4区",385767,359144,2141,40896,152398,50902,64323,6413,42071,26234,356,33
34,1,3401,"広島1区",424272,396101,1413,27076,129834,63342,103996,10692,59748,27892,276,3
34,2,3402,"広島2区",392575,365055,1531,24964,131123,64237,93054,7765,42381,27121,394,5
34,3,3403,"広島3区",436072,401922,1881,34730,152754,65994,87157,6257,53149,33764,386,0
34,4,3404,"広島4区",422338,387292,3232,43212,165929,57648,71289,7652,38330,34476,566,4
34,5,3405,"広島5区",324178,306303,3340,37118,138312,48558,48825,3297,26853,17191,682,2
