"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
44,1,4401,"大分1区",103953,8262,5420,6740,606,70599,250,1230,13599,880,1929
44,2,4402,"大分2区",61530,4397,2281,815,566,48679,110,685,4532,650,777
44,3,4403,"大分3区",74419,6538,3405,3089,782,55046,145,969,4924,813,1628
45,1,4501,"宮崎1区",93638,5668,1596,4587,624,69008,304,985,11548,833,2317
45,2,4502,"宮崎2区",68404,3797,1455,920,784,54928,181,653,5715,539,1122
45,3,4503,"宮崎3区",68924,3558,1161,519,905,57772,125,278,4366,489,964
46,1,4601,"鹿児島1区",98780,13781,6903,15966,1676,50402,414,2597,10503,1306,2443
46,2,4602,"鹿児島2区",86805,7489,4880,3451,1651,62772,147,2495,5353,709,1388
46,3,4603,"鹿児島3区",81751,5690,4104,1222,1636,65304,106,951,3950,632,1015
46,4,4604,"鹿児島4区",78997,5325,1261,1090,1828,64631,79,1125,3079,787,1614
47,1,4701,"沖縄1区",64128,11681,5539,8569,562,32481,977,2479,1922,1762,2186
47,2,4702,"沖縄2区",71058,5921,962,5676,537,54623,356,822,858,1133,2763
47,3,4703,"沖縄3区",70165,5293,60,3101,1133,56729,342,265,845,1080,2805
47,4,4704,"沖縄4区",72944,5670,317,4081,486,57928,317,1273,2049,1074,2044
