"ken","kuno","kucode","kuname","人口_総数","人口_0～4歳","人口_5～9歳","人口_10～14歳","人口_15～19歳","人口_20～24歳","人口_25～29歳","人口_30～34歳","人口_35～39歳","人口_40～44歳","人口_45～49歳","人口_50～54歳","人口_55～59歳","人口_60～64歳","人口_65～69歳","人口_70～74歳","人口_75～79歳","人口_80～84歳","人口_85～89歳","人口_90～94歳","人口_95～99歳","人口_100歳以上","人口_年齢「不詳」","人口_（再掲）15歳未満","人口_（再掲）15～64歳","人口_（再掲）65歳以上","人口_（再掲）75歳以上","人口_（再掲）85歳以上","人口_（再掲）20～69歳"
40,3,4003,"福岡3区",548397,23531,27218,27528,27993,29741,23530,27099,34032,38506,41667,35276,31815,30650,33664,35158,24879,18398,13090,6469,2008,329,15816,78277,320309,133995,65173,21896,325980
40,4,4004,"福岡4区",489902,23651,26673,26081,23515,21080,21430,26978,32817,35640,37348,29118,26060,28136,31868,33543,23697,17178,11775,6150,1702,291,5171,76405,282122,126204,60793,19918,290475
40,5,4005,"福岡5区",551051,24191,27630,28577,28190,25141,23332,27750,33704,38852,42743,36211,32266,32083,35941,37883,26258,19594,13353,6614,1820,311,8607,80398,320272,141774,67950,22098,328023
40,6,4006,"福岡6区",452986,17457,19787,20012,20734,20412,18893,20693,24380,27533,30151,27168,25993,26817,30648,31904,23547,18652,13389,6507,1944,348,26017,57256,242774,126939,64387,22188,252688
40,7,4007,"福岡7区",341021,11980,13892,14744,15402,13041,12959,14867,17464,19487,21209,20333,21020,23578,27291,28656,20721,18029,13754,7040,2161,335,3058,40616,179360,117987,62040,23290,191249
40,8,4008,"福岡8区",411207,15058,17425,17990,18350,17441,16554,18841,22168,24638,26691,22324,22576,26405,33695,35880,25624,20609,15245,7872,2402,428,2991,50473,215988,141755,72180,25947,231333
40,9,4009,"福岡9区",452752,15892,18552,19488,20648,20711,18795,20102,23516,26785,31622,27835,26611,27056,31324,34922,27583,21787,15513,7404,2073,364,14169,53932,243681,140970,74724,25354,254357
40,10,4010,"福岡10区",486277,17422,18665,19571,20807,21270,21041,22148,25706,29595,33914,30149,27881,27608,32274,37130,28304,21830,15752,7504,2054,359,25293,55658,260119,145207,75803,25669,271586
40,11,4011,"福岡11区",301260,10931,13096,13446,13399,11961,11746,13450,15936,17505,20027,16985,16478,19487,24202,26139,18916,15422,11156,5538,1631,245,3564,37473,156974,103249,52908,18570,167777
41,1,4101,"佐賀1区",406889,16431,18598,19499,20386,19033,17753,19907,23390,25986,27902,24707,23840,24863,28009,27729,20588,16299,12108,6303,1741,303,11514,54528,227767,113080,57342,20455,235390
41,2,4102,"佐賀2区",404553,15671,18293,19749,18770,14410,15765,18347,21979,24202,24986,23087,25371,28895,33598,31480,21675,19361,15431,8433,2595,408,2047,53713,215812,132981,67903,26867,230640
42,1,4201,"長崎1区",409118,14020,15975,16776,18038,17146,16392,18590,20860,23532,28218,25845,26759,28155,32863,32971,22850,19602,14469,7296,2211,342,6208,46771,223535,132604,66770,24318,238360
42,2,4202,"長崎2区",479582,19468,22215,23304,22096,15873,18151,22063,26144,29313,32193,29854,31033,34245,37692,36342,26029,22607,17162,8855,2736,413,1794,64987,260965,151836,77802,29166,276561
42,3,4203,"長崎3区",423617,15630,18102,18813,17794,14648,15885,18694,22175,24241,26583,25191,26365,30001,35384,35015,24925,22000,16867,8702,2606,414,3582,52545,221577,145913,75514,28589,239167
43,1,4301,"熊本1区",516859,21182,22769,23614,26642,27889,25436,26853,30451,33995,37328,32919,31881,31361,32143,32387,22965,18483,13819,6853,1998,294,15597,67565,304755,128942,64412,22964,310256
43,2,4302,"熊本2区",375868,15661,17393,17371,17395,15346,15520,18391,21700,23194,24396,21660,22092,24280,27931,27999,20461,17638,13380,7133,2204,424,4299,50425,203974,117170,61240,23141,214510
43,3,4303,"熊本3区",376435,16626,19257,19192,16583,13192,15199,18927,22238,23791,23416,20388,22142,25068,28987,28148,19299,17506,13968,7605,2467,416,2020,55075,200944,118396,61261,24456,213348
43,4,4304,"熊本4区",469139,15572,19124,20605,18751,13400,15608,18845,22665,25393,27205,26877,30426,35355,40703,39780,29883,27372,22152,12019,3546,575,3283,55301,234525,176030,95547,38292,256477
44,1,4401,"大分1区",463837,19086,21193,21990,21997,20379,21119,23992,27726,32175,35156,28765,26979,28178,31114,32587,23067,16577,11776,5951,1728,242,12060,62269,266466,123042,59341,19697,275583
44,2,4402,"大分2区",303269,8966,11076,12359,11393,8411,9452,11310,14063,16707,17924,16389,18407,22102,26786,28880,21395,19160,15681,8580,2433,407,1388,32401,146158,123322,67656,27101,161551
44,3,4403,"大分3区",356746,11939,13828,14835,15316,13982,13433,15601,18097,20662,22632,20415,20570,23195,26817,29616,22661,18651,14716,7707,2312,348,9413,40602,183903,122828,66395,25083,195404
45,1,4501,"宮崎1区",426671,17102,19530,20247,19809,17400,17482,20583,24222,28025,30710,26231,25921,27054,29841,30833,21373,16768,12635,6389,1878,309,12329,56879,237437,120026,59352,21211,247469
45,2,4502,"宮崎2区",319057,11501,13743,14888,13608,10312,11325,13307,16197,18808,20108,17822,19617,22699,26594,27132,19169,16985,13260,7032,1987,344,2619,40132,163803,112503,58777,22623,176789
45,3,4503,"宮崎3区",323848,12582,14780,15400,13930,10119,11944,14314,17700,19068,19089,17220,19753,23878,26827,25832,18593,17113,14010,7232,2020,387,2057,42762,167015,112014,59355,23649,179912
46,1,4601,"鹿児島1区",424890,15342,17497,18488,19284,18441,16878,18962,22943,26158,28301,25143,25026,26426,29031,28481,20895,16730,12822,6570,1911,316,29245,51327,227562,116756,59244,21619,237309
46,2,4602,"鹿児島2区",398675,15856,18349,18861,17159,11713,14013,17964,22019,23453,23525,22292,24959,30528,34142,29561,20759,18007,14738,8403,2651,471,9252,53066,207625,128732,65029,26263,224608
