"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
16,1,1601,"富山1区",143773,134742,1539,14326,55011,28916,19383,1499,14068,8915,115,1
16,2,1602,"富山2区",130637,123784,3168,20401,53930,24644,12565,751,8325,6743,110,0
16,3,1603,"富山3区",194244,183865,5138,27946,79631,38236,20857,1156,10901,10175,204,0
17,1,1701,"石川1区",205390,189396,1828,17754,69775,41770,27492,2240,28537,15875,118,1
17,2,1702,"石川2区",172224,161057,2779,23707,72524,33732,17477,955,9883,11072,92,3
17,3,1703,"石川3区",129946,122977,3784,27352,53701,21406,9992,471,6271,6902,67,0
18,1,1801,"福井1区",202545,190440,3637,26878,83270,35647,22781,1530,16697,11989,115,1
18,2,1802,"福井2区",139601,131789,3083,24354,58931,22711,12390,650,9670,7656,155,1
19,1,1901,"山梨1区",223444,208889,2749,22045,87902,47443,26774,1644,20332,14201,352,2
19,2,1902,"山梨2区",136297,126313,2346,18843,55888,25880,13667,671,9018,9807,176,1
20,1,2001,"長野1区",220892,208333,2886,21815,91315,48821,23168,1111,19217,12365,189,5
20,2,2002,"長野2区",202457,190742,2643,19438,83376,42253,21417,1391,20224,11587,125,3
20,3,2003,"長野3区",210752,198679,2956,22928,88335,45300,20013,1014,18133,11934,136,3
20,4,2004,"長野4区",127886,120983,1794,16126,56671,26595,12689,644,6464,6828,75,0
20,5,2005,"長野5区",149621,141495,2645,20827,65169,29325,12293,595,10641,7916,209,1
21,1,2101,"岐阜1区",177485,164519,1562,21752,63778,33801,24672,1639,17315,12782,180,4
21,2,2102,"岐阜2区",161430,150548,2182,25060,67732,28693,15984,745,10152,10760,121,1
21,3,2103,"岐阜3区",219416,204148,2742,32375,85953,38553,22591,1144,20790,15119,146,3
21,4,2104,"岐阜4区",177873,168342,3390,34495,74211,28483,14783,772,12208,9360,166,5
21,5,2105,"岐阜5区",147333,138950,2154,24007,63857,25488,13332,604,9508,8282,101,0
22,1,2201,"静岡1区",207932,194655,1939,23429,77963,38271,27837,1675,23541,13099,178,0
22,2,2202,"静岡2区",202522,191774,3061,31534,92543,33761,19037,979,10859,10540,207,1
22,3,2203,"静岡3区",198393,187358,2925,29893,87166,34146,19914,1111,12203,10792,236,7
22,4,2204,"静岡4区",169132,159546,1817,22961,72104,29789,17042,913,14920,9488,97,1
22,5,2205,"静岡5区",232532,218566,2283,28975,104006,42771,26359,1609,12563,13827,137,2
22,6,2206,"静岡6区",231649,220551,2559,33116,100476,40280,21970,1245,20905,10982,113,3
22,7,2207,"静岡7区",168365,158695,2403,28577,72357,30994,16590,840,6934,9501,168,1
22,8,2208,"静岡8区",200711,188632,1808,28894,82369,39180,27273,1677,7431,11944,129,6
23,1,2301,"愛知1区",210958,198661,1462,19760,62412,38513,37109,2864,36541,12102,184,11
23,2,2302,"愛知2区",217651,200392,999,15218,59143,44845,44556,3816,31815,16950,304,5
23,3,2303,"愛知3区",223913,205977,996,16316,60442,45858,44434,3465,34466,17629,303,4
23,4,2304,"愛知4区",194328,182160,1758,26547,65479,32786,27019,1879,26692,11903,259,6
23,5,2305,"愛知5区",181863,170790,1583,21635,59185,31926,24371,1283,30807,10866,205,2
23,6,2306,"愛知6区",190452,176608,1723,22143,65874,36930,26374,1413,22151,13625,212,7
23,7,2307,"愛知7区",182697,167057,1192,15880,56767,39703,33466,2160,17889,15492,144,4
23,8,2308,"愛知8区",227287,211424,2309,34258,84006,40786,27167,1345,21553,15669,191,3
23,9,2309,"愛知9区",203223,188926,2072,28879,76483,37554,24212,973,18753,14155,139,3
23,10,2310,"愛知10区",188896,175650,1617,24118,65373,32823,22545,1052,28122,13046,194,6
23,11,2311,"愛知11区",196237,181290,1546,23106,72508,35896,24859,1459,21916,14740,202,5
23,12,2312,"愛知12区",232779,216839,2206,31166,85799,42898,29156,1489,24125,15661,273,6
23,13,2313,"愛知13区",216281,200201,1936,27358,74089,39582,30186,1749,25301,15727,348,5
23,14,2314,"愛知14区",156414,146915,2212,24989,66479,28816,16025,743,7651,9343,151,5
23,15,2315,"愛知15区",184519,172753,1576,21600,76056,33621,19200,1005,19695,11406,350,10
23,16,2316,"愛知16区",205643,191064,1746,26703,74696,39542,26111,1218,21048,14424,148,7
