kucode,pref_id,district_name,total_pop,foreigners,pct_foreigners,kuname_x,就業者数_0_総数,就業者数_A_農業，林業,就業者数_01_うち農業,就業者数_B_漁業,就業者数_C_鉱業，採石業，砂利採取業,就業者数_D_建設業,就業者数_E_製造業,就業者数_F_電気・ガス・熱供給・水道業,就業者数_G_情報通信業,就業者数_H_運輸業，郵便業,就業者数_I_卸売業，小売業,就業者数_J_金融業，保険業,就業者数_K_不動産業，物品賃貸業,就業者数_L_学術研究，専門・技術サービス業,就業者数_M_宿泊業，飲食サービス業,就業者数_N_生活関連サービス業，娯楽業,就業者数_O_教育，学習支援業,就業者数_P_医療，福祉,就業者数_Q_複合サービス事業,就業者数_R_サービス業（他に分類されないもの）,就業者数_S_公務（他に分類されるものを除く）,就業者数_T_分類不能の産業,就業者数_R1_（再掲）第1次産業,就業者数_R2_（再掲）第2次産業,就業者数_R3_（再掲）第3次産業,kuname_y,人口_総数,人口_0～4歳,人口_5～9歳,人口_10～14歳,人口_15～19歳,人口_20～24歳,人口_25～29歳,人口_30～34歳,人口_35～39歳,人口_40～44歳,人口_45～49歳,人口_50～54歳,人口_55～59歳,人口_60～64歳,人口_65～69歳,人口_70～74歳,人口_75～79歳,人口_80～84歳,人口_85～89歳,人口_90～94歳,人口_95～99歳,人口_100歳以上,人口_年齢「不詳」,人口_（再掲）15歳未満,人口_（再掲）15～64歳,人口_（再掲）65歳以上,人口_（再掲）75歳以上,人口_（再掲）85歳以上,人口_（再掲）20～69歳
403,4,宮城3区,334448,2040,0.006099602927809406,宮城3区,158176,8093,7770,141,139,15376,30511,764,1963,10144,24282,2394,2373,3365,7033,5193,6728,18179,1489,10029,6072,3908,8234,46026,100008,宮城3区,334448,11249,13889,15179,16355,14219,13287,16542,20230,22449,23681,19921,20179,22858,26304,25329,17574,14285,10530,5616,1553,226,2993,40317,189721,101417,49784,17925,199670
404,4,宮城4区,461445,3303,0.007157949484770666,宮城4区,216453,6270,6032,3240,83,24792,30005,1902,2660,16504,36027,3591,3381,4845,10562,6914,8686,25200,1937,15191,10210,4453,9510,54880,147610,宮城4区,461445,15746,19483,20838,22070,19984,19656,22738,27144,31201,33525,29383,28990,30463,34364,33440,24894,20005,13966,6663,1862,285,4745,56067,265154,135479,67675,22776,277448
405,4,宮城5区,409399,2603,0.006358100532732127,宮城5区,204529,20253,19553,2200,68,20924,37155,786,988,10245,28001,2572,1800,3453,8831,6307,8314,25618,3284,11121,7066,5543,22453,58147,118386,宮城5区,409399,11779,14861,16739,17339,13473,14693,17800,22558,25594,25805,23293,26835,31499,36844,33372,22839,22057,17989,9125,2315,324,2266,43379,218889,144865,74649,29753,238394
501,5,秋田1区,307672,1187,0.0038580046283054684,秋田1区,142787,2610,2225,24,86,11227,10793,1109,3029,7190,25673,4414,2607,4358,7989,5645,8353,22823,1196,10799,8498,4364,2634,22106,113683,秋田1区,307672,9434,11244,12131,13017,12562,12269,14096,16778,20347,22572,19801,20219,21094,23339,24085,16824,14343,10531,5330,1322,175,6159,32809,172755,95949,48525,17358,183077
502,5,秋田2区,288633,1106,0.003831855678318141,秋田2区,136128,14059,13189,364,126,14305,19695,762,742,5369,19866,1872,1169,1981,5602,4690,5246,22722,2269,7968,5897,1424,14423,34126,86155,秋田2区,288633,6546,8274,10180,10166,7223,8562,10116,13184,16344,17666,17294,19658,22243,26581,27894,20971,19544,15435,7562,1893,273,1024,25000,142456,120153,65678,25163,158871
503,5,秋田3区,363197,1358,0.0037390176680974787,秋田3区,184979,22888,21898,177,222,18669,34466,671,702,5631,25471,2349,1375,3239,8110,6291,7078,26794,3421,8634,6937,1854,23065,53357,106703,秋田3区,363197,9291,11786,13787,13156,9407,11124,14395,18536,21558,22259,20960,24576,29505,33932,32127,22704,22546,18281,9256,2332,288,1391,34864,185476,141466,75407,30157,206252
601,6,山形1区,363311,1938,0.0053342728406241486,山形1区,177992,9150,9045,9,37,13184,26594,927,2637,7528,30237,5141,2679,4267,9821,6168,8871,25891,1715,10672,8163,4301,9159,39815,124717,山形1区,363311,12594,14552,15504,16932,15348,15353,17518,21028,23982,25028,22463,22474,23759,26041,26673,19934,16557,12731,6974,1890,238,5738,42650,203885,111038,58324,21833,212994
602,6,山形2区,370390,3202,0.008644941818083642,山形2区,192451,19406,19015,32,116,16283,48041,584,1304,5864,24201,2748,1384,3138,8411,5590,7801,24496,2451,8437,8666,3498,19438,64440,105075,山形2区,370390,11798,14150,15875,16199,14389,13896,17028,20007,22284,23124,21564,23848,26787,30656,28721,20791,19530,16076,8883,2563,364,1857,41823,199126,127584,68207,27886,213583
603,6,山形3区,334326,2009,0.006009104885650532,山形3区,170479,17600,16983,450,125,16689,30982,854,886,5801,23469,2869,1387,3273,7829,5788,7059,24736,2871,9132,6208,2471,18050,47796,102162,山形3区,334326,9906,12001,13706,13741,9994,11755,14284,16776,19931,21385,20105,22431,25406,28922,27905,20250,18766,14933,7917,1965,274,1973,35613,175808,120932,64105,25089,190989
701,7,福島1区,465894,2949,0.0063297659982742855,福島1区,223115,14097,13795,15,52,18962,40157,1266,2821,10000,31426,4716,2847,5445,9887,7242,10124,29730,2266,13626,11639,6797,14112,59171,143035,福島1区,465894,14885,17071,18971,21137,18970,19312,21907,25055,28887,32585,29229,30107,32036,36549,35541,26305,21431,16541,8794,2377,299,7905,50927,259225,147837,75747,28011,274637
